gene,length,count,rate,percentage
MLN,558,5,111.6,0.3788573174457684
MBD3L1,893,8,111.625,0.384967919340055
KRTAP12-4,447,4,111.75,0.3910785212343416
LGALS4,1345,12,112.08333333333333,0.3971891231286282
SLC35G5,1349,12,112.41666666666667,0.4032997250229147
APOA4,1471,13,113.15384615384616,0.40941032691720136
PLEKHF1,1699,15,113.26666666666667,0.41552092881148794
KRTAP19-4,342,3,114,0.4216315307057745
TEKT5,1597,14,114.07142857142857,0.4277421326000611
GTF3C6,800,7,114.28571428571429,0.43385273449434764
GPR142,1487,13,114.38461538461539,0.4399633363886343
TMEM54,1030,9,114.44444444444444,0.44607393828292086
CELA2A,916,8,114.5,0.4521845401772075
NDUFA8,804,7,114.85714285714286,0.458295142071494
PTGDS,921,8,115.125,0.4644057439657806
SBK3,1270,11,115.45454545454545,0.47051634586006724
CNN1,1848,16,115.5,0.47662694775435377
LYZL2,811,7,115.85714285714286,0.4827375496486404
RAB20,1507,13,115.92307692307692,0.488848151542927
OR10V1,930,8,116.25,0.49495875343721363
OR10G9,936,8,117,0.5010693553315002
OR52J3,936,8,117,0.5010693553315002
OR13J1,939,8,117.375,0.5132905591200734
POM121L12,1293,11,117.54545454545455,0.5194011610143598
GZMM,941,8,117.625,0.5255117629086465
IGFLR1,1647,14,117.64285714285714,0.5316223648029331
OR6M1,942,8,117.75,0.5377329666972196
SLC25A2,1415,12,117.91666666666667,0.5438435685915063
OR5I1,945,8,118.125,0.5499541704857929
OR52R1,948,8,118.5,0.5560647723800795
FUT7,1662,14,118.71428571428571,0.562175374274366
LRRC43,2022,17,118.94117647058823,0.5682859761686526
OR4A5,1071,9,119,0.5743965780629392
ZNF775,2261,19,119,0.5743965780629392
CELA1,953,8,119.125,0.5866177818515124
PRPS1L1,1077,9,119.66666666666667,0.592728383745799
ZNF837,2038,17,119.88235294117646,0.5988389856400855
MPHOSPH10,2164,18,120.22222222222223,0.6049495875343721
OR1L1,1083,9,120.33333333333333,0.6110601894286587
RHBDL1,1566,13,120.46153846153847,0.6171707913229453
CD1A,1809,15,120.6,0.6232813932172319
RHCE,1810,15,120.66666666666667,0.6293919951115186
RBM42,1692,14,120.85714285714286,0.635502597005805
C10orf120,1088,9,120.88888888888889,0.6416131989000917
PRSS50,1332,11,121.0909090909091,0.6477238007943783
C4orf47,1333,11,121.18181818181819,0.6538344026886648
C1QA,1091,9,121.22222222222223,0.6599450045829515
PEX11G,1345,11,122.27272727272727,0.666055606477238
SSX1,1223,10,122.3,0.6721662083715246
BABAM1,1472,12,122.66666666666667,0.6782768102658112
IRGC,1596,13,122.76923076923077,0.6843874121600977
CRABP1,738,6,123,0.6904980140543844
OMP,492,4,123,0.6904980140543844
TRIM77,1353,11,123,0.6904980140543844
GPR45,1725,14,123.21428571428571,0.7088298197372441
KRTAP25-1,370,3,123.33333333333333,0.7149404216315307
ZNF732,2346,19,123.47368421052632,0.7210510235258173
TLE6,1977,16,123.5625,0.7271616254201039
RFPL3,1488,12,124,0.7332722273143905
IQCF1,745,6,124.16666666666667,0.739382829208677
NOXO1,1618,13,124.46153846153847,0.7454934311029637
CELA3B,996,8,124.5,0.7516040329972502
BST2,1001,8,125.125,0.7577146348915368
PSMC4,1754,14,125.28571428571429,0.7638252367858234
ASCL3,627,5,125.4,0.76993583868011
AURKB,1254,10,125.4,0.76993583868011
CRYGC,627,5,125.4,0.76993583868011
KPNA7,1882,15,125.46666666666667,0.7882676443629697
CCDC105,1757,14,125.5,0.7943782462572564
S100A4,755,6,125.83333333333333,0.800488848151543
BFSP2,1512,12,126,0.8065994500458294
BMP15,1262,10,126.2,0.8127100519401161
TSSK6,1519,12,126.58333333333333,0.8188206538344027
ADCK5,2027,16,126.6875,0.8249312557286892
PRSS38,1267,10,126.7,0.8310418576229759
ZNF653,2154,17,126.70588235294117,0.8371524595172625
WDR18,1521,12,126.75,0.843263061411549
NEU2,1143,9,127,0.8493736633058355
ZBTB32,2037,16,127.3125,0.8554842652001222
FERD3L,640,5,128,0.8615948670944088
KLRC3,1025,8,128.125,0.8677054689886953
IQCF6,514,4,128.5,0.873816070882982
HIPK4,2446,19,128.73684210526315,0.8799266727772685
COMMD3-BMI1,1419,11,129,0.8860372746715552
OTOS,645,5,129,0.8860372746715552
CCDC70,1162,9,129.11111111111111,0.8982584784601283
IFNL1,775,6,129.16666666666666,0.904369080354415
IL23A,1037,8,129.625,0.9104796822487015
LRRC61,1815,14,129.64285714285714,0.916590284142988
GRIFIN,649,5,129.8,0.9227008860372747
FOXB2,1299,10,129.9,0.9288114879315612
TEKT3,1820,14,130,0.9349220898258478
TAAR9,1047,8,130.875,0.9410326917201345
FSD1,1833,14,130.92857142857142,0.9471432936144211
OR5M11,918,7,131.14285714285714,0.9532538955087075
GALK1,1445,11,131.36363636363637,0.9593644974029942
REC114,920,7,131.42857142857142,0.9654750992972808
FERMT3,2499,19,131.52631578947367,0.9715857011915673
TEAD4,1710,13,131.53846153846155,0.977696303085854
NHLRC1,2238,17,131.64705882352942,0.9838069049801406
EVA1B,1054,8,131.75,0.9899175068744273
SLURP1,527,4,131.75,0.9899175068744273
CPXM1,2376,18,132,1.0021387106630004
ZAR1L,1584,12,132,1.0021387106630004
TESC,1057,8,132.125,1.0143599144515734
KRTAP26-1,1192,9,132.44444444444446,1.02047051634586
TBCB,1067,8,133.375,1.0265811182401468
TEKT2,1738,13,133.69230769230768,1.0326917201344332
PSMG2,1070,8,133.75,1.0388023220287197
KCNG2,1876,14,134,1.0449129239230064
HYAL3,1878,14,134.14285714285714,1.051023525817293
OR1D5,939,7,134.14285714285714,1.051023525817293
OR51B6,939,7,134.14285714285714,1.051023525817293
OR6C68,939,7,134.14285714285714,1.051023525817293
OR8S1,939,7,134.14285714285714,1.051023525817293
NME5,1208,9,134.22222222222223,1.0815765352887259
CLPS,538,4,134.5,1.0876871371830126
NDUFV2,942,7,134.57142857142858,1.0937977390772993
PNLIPRP2,1482,11,134.72727272727272,1.0999083409715857
CLIC3,809,6,134.83333333333334,1.1060189428658722
CRYBA4,809,6,134.83333333333334,1.1060189428658722
VPS37D,1618,12,134.83333333333334,1.1060189428658722
UGT2B7,1888,14,134.85714285714286,1.124350748548732
OR5D13,945,7,135,1.1304613504430188
RSPH6A,2442,18,135.66666666666666,1.1365719523373052
SIT1,1222,9,135.77777777777777,1.1426825542315917
ZNF205,2309,17,135.8235294117647,1.1487931561258784
BIK,951,7,135.85714285714286,1.154903758020165
MGARP,1224,9,136,1.1610143599144516
PLD3,2180,16,136.25,1.1671249618087383
OR6Q1,954,7,136.28571428571428,1.1732355637030247
WFDC2,818,6,136.33333333333334,1.1793461655973112
PRDX4,956,7,136.57142857142858,1.185456767491598
CCL19,683,5,136.6,1.1915673693858846
OR4D5,957,7,136.71428571428572,1.197677971280171
OR13F1,960,7,137.14285714285714,1.2037885731744575
OVGP1,2196,16,137.25,1.2098991750687442
CAPS,1789,13,137.6153846153846,1.216009776963031
BRICD5,826,6,137.66666666666666,1.2221203788573174
LGI4,2891,21,137.66666666666666,1.2221203788573174
LYG2,964,7,137.71428571428572,1.2343415826458906
PRSS21,1106,8,138.25,1.2404521845401772
RNASEH2A,1245,9,138.33333333333334,1.2465627864344637
TMEM171,1247,9,138.55555555555554,1.2526733883287504
SLC25A28,1526,11,138.72727272727272,1.258783990223037
PENK,1251,9,139,1.2648945921173236
BPIFB6,1670,12,139.16666666666666,1.27100519401161
GJA8,1392,10,139.2,1.2771157959058967
C6orf226,557,4,139.25,1.2832263978001834
PGAM2,837,6,139.5,1.28933699969447
PSMB10,977,7,139.57142857142858,1.2954476015887566
KCNA10,1959,14,139.92857142857142,1.301558203483043
FSCN2,1684,12,140.33333333333334,1.3076688053773295
COPS6,1404,10,140.4,1.3137794072716162
OR52B4,1124,8,140.5,1.319890009165903
PRMT1,1686,12,140.5,1.319890009165903
ERAS,1266,9,140.66666666666666,1.332111212954476
RNASE6,844,6,140.66666666666666,1.332111212954476
TM6SF2,1829,13,140.69230769230768,1.3443324167430493
FBXW5,2392,17,140.7058823529412,1.3504430186373357
PPY,563,4,140.75,1.3565536205316224
NT5C1B,2678,19,140.94736842105263,1.362664222425909
HOXA6,989,7,141.28571428571428,1.3687748243201954
NPPB,708,5,141.6,1.374885426214482
FOLR3,992,7,141.71428571428572,1.3809960281087688
OR2D3,993,7,141.85714285714286,1.3871066300030555
OR6S1,996,7,142.28571428571428,1.393217231897342
CBR3,998,7,142.57142857142858,1.3993278337916284
ERICH6B,2424,17,142.58823529411765,1.405438435685915
CYP11A1,2001,14,142.92857142857142,1.4115490375802016
SLC51A,1430,10,143,1.4176596394744883
DYRK1B,2724,19,143.3684210526316,1.423770241368775
CAPSL,1004,7,143.42857142857142,1.4298808432630614
LRFN4,2869,20,143.45,1.435991445157348
MRPL53,574,4,143.5,1.4421020470516346
PTH1R,2153,15,143.53333333333333,1.4482126489459213
C7orf33,1153,8,144.125,1.4543232508402077
LEO1,2165,15,144.33333333333334,1.4604338527344944
SPATC1,2170,15,144.66666666666666,1.466544454628781
ANKRD2,1449,10,144.9,1.4726550565230674
EDEM2,1884,13,144.92307692307693,1.478765658417354
UQCRC1,1595,11,145,1.4848762603116408
RSC1A1,2321,16,145.0625,1.4909868622059275
SLC25A6,1451,10,145.1,1.497097464100214
HUS1B,1162,8,145.25,1.5032080659945004
ADAT3,1599,11,145.36363636363637,1.509318667888787
ABHD8,2042,14,145.85714285714286,1.5154292697830736
PRR5-ARHGAP8,2043,14,145.92857142857142,1.5215398716773603
A3GALT2,1023,7,146.14285714285714,1.5276504735716467
GP9,877,6,146.16666666666666,1.5337610754659334
LCN2,877,6,146.16666666666666,1.5337610754659334
SLC5A4,2048,14,146.28571428571428,1.5459822792545066
PCSK1N,1025,7,146.42857142857142,1.5520928811487933
TRIM50,2050,14,146.42857142857142,1.5520928811487933
SLC16A5,2051,14,146.5,1.5643140849373665
TSSK3,1026,7,146.57142857142858,1.5704246868316527
APOH,1174,8,146.75,1.5765352887259394
RNASE3,734,5,146.8,1.582645890620226
C8G,881,6,146.83333333333334,1.5887564925145128
RCN3,1469,10,146.9,1.5948670944087993
FCN3,1032,7,147.42857142857142,1.600977696303086
INO80B,1181,8,147.625,1.6070882981973722
WFDC5,1034,7,147.71428571428572,1.613198900091659
SLC22A1,1922,13,147.84615384615384,1.6193095019859456
ALX1,1332,9,148,1.6254201038802323
OR52N2,1333,9,148.11111111111111,1.6315307057745188
TAAR6,1038,7,148.28571428571428,1.6376413076688054
IL36A,890,6,148.33333333333334,1.6437519095630921
ULBP2,1335,9,148.33333333333334,1.6437519095630921
SAA2-SAA4,743,5,148.6,1.655973113351665
MRGPRX3,1639,11,149,1.6620837152459518
MYBPHL,1342,9,149.11111111111111,1.6681943171402382
PNLDC1,1940,13,149.23076923076923,1.674304919034525
DHPS,1345,9,149.44444444444446,1.6804155209288116
VN1R4,1048,7,149.71428571428572,1.686526122823098
LRRC45,2698,18,149.88888888888889,1.6926367247173846
ATP4B,1500,10,150,1.698747326611671
LGALS13,600,4,150,1.698747326611671
FGFBP1,1351,9,150.11111111111111,1.7109685304002444
ZNF668,2865,19,150.78947368421052,1.7170791322945311
MAP1LC3C,1207,8,150.875,1.7231897341888176
ZSCAN10,2716,18,150.88888888888889,1.7293003360831043
BHLHE23,1057,7,151,1.7354109379773905
PTPRCAP,907,6,151.16666666666666,1.7415215398716772
REEP4,1666,11,151.45454545454547,1.747632141765964
C1QTNF9B,1212,8,151.5,1.7537427436602506
LYZL4,909,6,151.5,1.7537427436602506
TRMT1,2579,17,151.7058823529412,1.7659639474488238
CLPTM1,2732,18,151.77777777777777,1.7720745493431105
STXBP2,1974,13,151.84615384615384,1.7781851512373967
DCAF15,2278,15,151.86666666666667,1.7842957531316834
OR14A16,1367,9,151.88888888888889,1.7904063550259701
CHAC1,1520,10,152,1.7965169569202566
SLC38A8,1672,11,152,1.7965169569202566
TUBA3D,1520,10,152,1.7965169569202566
PRDM9,3193,21,152.04761904761904,1.8148487626031167
FES,2737,18,152.05555555555554,1.820959364497403
SIRT4,1217,8,152.125,1.8270699663916896
BATF,913,6,152.16666666666666,1.833180568285976
NOX3,1980,13,152.30769230769232,1.8392911701802628
OBP2A,914,6,152.33333333333334,1.8454017720745495
KCNK4,1829,12,152.41666666666666,1.851512373968836
LRRC52,1372,9,152.44444444444446,1.8576229758631224
NT5C1B-RDH14,2142,14,153,1.8637335777574089
SERPINI2,1837,12,153.08333333333334,1.8698441796516956
PPP1R32,1532,10,153.2,1.8759547815459823
ATP2A1,3532,23,153.56521739130434,1.882065383440269
RBMXL2,2151,14,153.64285714285714,1.8881759853345554
BPI,1845,12,153.75,1.8942865872288421
FABP6,769,5,153.8,1.9003971891231284
ZNF16,2616,17,153.88235294117646,1.906507791017415
MYF5,1540,10,154,1.9126183929117018
SYCE3,462,3,154,1.9126183929117018
CD63,1233,8,154.125,1.924839596700275
CEACAM16,1696,11,154.1818181818182,1.9309501985945616
AREG,1234,8,154.25,1.9370608004888483
LRRC23,1698,11,154.36363636363637,1.9431714023831346
SLC34A3,2162,14,154.42857142857142,1.9492820042774213
C1QTNF9,1854,12,154.5,1.955392606171708
TNFRSF18,1083,7,154.71428571428572,1.9615032080659944
GNB2,1702,11,154.72727272727272,1.9676138099602811
MC3R,1084,7,154.85714285714286,1.9737244118545678
OR4B1,930,6,155,1.9798350137488545
OR4C46,930,6,155,1.9798350137488545
OR4S1,930,6,155,1.9798350137488545
LEMD1,931,6,155.16666666666666,1.998166819431714
FANCD2OS,1087,7,155.28571428571428,2.004277421326001
CRYGA,622,4,155.5,2.0103880232202873
OR8I2,933,6,155.5,2.0103880232202873
KCNV2,2178,14,155.57142857142858,2.0226092270088607
CPO,1245,8,155.625,2.0287198289031467
PIGQ,2958,19,155.68421052631578,2.0348304307974336
PRADC1,1090,7,155.71428571428572,2.04094103269172
ATXN3L,1407,9,156.33333333333334,2.0470516345860066
CCDC159,1408,9,156.44444444444446,2.0531622364802935
KRTAP6-2,313,2,156.5,2.05927283837458
OR51B2,939,6,156.5,2.05927283837458
JMJD7,1409,9,156.55555555555554,2.071494042163153
NUDT7,1096,7,156.57142857142858,2.0776046440574394
OR51Q1,1096,7,156.57142857142858,2.0776046440574394
WDR86,2038,13,156.76923076923077,2.0898258478460128
THOC6,1411,9,156.77777777777777,2.0959364497402997
CD177,2195,14,156.78571428571428,2.102047051634586
ASCC2,2823,18,156.83333333333334,2.1081576535288726
FUZ,1728,11,157.0909090909091,2.114268255423159
PANX3,1729,11,157.1818181818182,2.1203788573174456
OR13D1,945,6,157.5,2.1264894592117325
OR2W3,945,6,157.5,2.1264894592117325
ZNF354A,2521,16,157.5625,2.1387106630003054
CBLC,1576,10,157.6,2.1448212648945923
CSF2,788,5,157.6,2.1448212648945923
CCDC185,2051,13,157.76923076923077,2.1570424686831653
CALR3,1263,8,157.875,2.1631530705774518
KLHL22,2528,16,158,2.1692636724717387
ZNF764,2846,18,158.11111111111111,2.175374274366025
TCF25,2688,17,158.11764705882354,2.1814848762603116
PPP1R14A,949,6,158.16666666666666,2.1875954781545985
ASB12,1267,8,158.375,2.1937060800488846
OR10A7,951,6,158.5,2.1998166819431715
ZC2HC1B,951,6,158.5,2.1998166819431715
ARAF,2378,15,158.53333333333333,2.2120378857317444
DDX39A,1903,12,158.58333333333334,2.2181484876260313
GPR32,1269,8,158.625,2.224259089520318
CTU2,1905,12,158.75,2.2303696914146043
NR2E3,2064,13,158.76923076923077,2.2364802933088908
GPR152,1429,9,158.77777777777777,2.2425908952031772
KCNK16,1272,8,159,2.248701497097464
PRG2,1431,9,159,2.248701497097464
LRIT1,2386,15,159.06666666666666,2.2609227008860375
TRIP6,1750,11,159.0909090909091,2.267033302780324
ZYX,2228,14,159.14285714285714,2.2731439046746105
VPS16,2708,17,159.2941176470588,2.279254506568897
LRRC4B,3348,21,159.42857142857142,2.2853651084631834
CRYBA1,798,5,159.6,2.2914757103574703
SH2B2,2236,14,159.71428571428572,2.297586312251757
ZNF823,2396,15,159.73333333333332,2.3036969141460433
KCNS3,2397,15,159.8,2.30980751604033
CHI3L1,1920,12,160,2.3159181179346167
OR7C2,960,6,160,2.3159181179346167
SIRT6,1600,10,160,2.3159181179346167
PRR35,2245,14,160.35714285714286,2.3342499236174765
CA4,1123,7,160.42857142857142,2.340360525511763
GJB4,1444,9,160.44444444444446,2.3464711274060495
HNRNPM,2568,16,160.5,2.3525817293003364
HSPBP1,1768,11,160.72727272727272,2.3586923311946224
SULT2B1,1447,9,160.77777777777777,2.3648029330889093
PLTP,2255,14,161.07142857142858,2.370913534983196
CLEC14A,2094,13,161.07692307692307,2.3770241368774823
BPIFB1,1933,12,161.08333333333334,2.383134738771769
KRTAP19-5,485,3,161.66666666666666,2.3892453406660557
S100A12,485,3,161.66666666666666,2.3892453406660557
RWDD3,1294,8,161.75,2.4014665444546286
BOP1,2428,15,161.86666666666667,2.407577146348915
SF3A2,1619,10,161.9,2.413687748243202
KIF2B,2267,14,161.92857142857142,2.4197983501374885
SPACA4,973,6,162.16666666666666,2.4259089520317754
TFB2M,1784,11,162.1818181818182,2.432019553926062
SCAF1,4222,26,162.3846153846154,2.4381301558203483
SPINK8,812,5,162.4,2.444240757714635
C1orf127,2761,17,162.41176470588235,2.4503513596089213
OR4K15,975,6,162.5,2.456461961503208
OR6K2,975,6,162.5,2.456461961503208
HOOK2,2603,16,162.6875,2.468683165291781
TNFRSF6B,1140,7,162.85714285714286,2.474793767186068
LAT,2443,15,162.86666666666667,2.4809043690803545
EID3,1467,9,163,2.487014970974641
PP2D1,2119,13,163,2.487014970974641
RPN1,2284,14,163.14285714285714,2.4992361747632144
ALB,2285,14,163.21428571428572,2.505346776657501
GDPD3,1306,8,163.25,2.5114573785517873
WDR25,2123,13,163.30769230769232,2.517567980446074
ZNF768,2289,14,163.5,2.5236785823403607
OR1S1,1474,9,163.77777777777777,2.529789184234647
SLC16A13,1804,11,164,2.5358997861289336
BASP1,1807,11,164.27272727272728,2.54201038802322
TAAR5,1150,7,164.28571428571428,2.548120989917507
CRTC2,2631,16,164.4375,2.5542315918117935
OR5D16,987,6,164.5,2.56034219370608
C9orf24,1152,7,164.57142857142858,2.566452795600367
OR56B4,1152,7,164.57142857142858,2.566452795600367
CLRN2,823,5,164.6,2.57867399938894
MUC1,1811,11,164.63636363636363,2.5847846012832263
MOSPD3,1154,7,164.85714285714286,2.590895203177513
AARSD1,1320,8,165,2.5970058050717997
TCN1,1486,9,165.11111111111111,2.603116406966086
MATN4,2313,14,165.21428571428572,2.6092270088603726
NLRP12,3635,22,165.22727272727272,2.615337610754659
CHRM1,2646,16,165.375,2.621448212648946
EIF4EBP1,827,5,165.4,2.6275588145432325
C6orf118,1822,11,165.63636363636363,2.633669416437519
FUT5,1988,12,165.66666666666666,2.639780018331806
GPKOW,1658,10,165.8,2.6458906202260923
OR1B1,995,6,165.83333333333334,2.652001222120379
STX8,830,5,166,2.6581118240146653
ESX1,1495,9,166.11111111111111,2.664222425908952
SRRT,2990,18,166.11111111111111,2.664222425908952
TIMD4,1330,8,166.25,2.676443629697525
VPS51,2661,16,166.3125,2.682554231591812
NELFA,2495,15,166.33333333333334,2.6886648334860985
AFM,1997,12,166.41666666666666,2.694775435380385
PSTPIP1,1998,12,166.5,2.7008860372746715
SLC7A9,1998,12,166.5,2.7008860372746715
TYW1,3330,20,166.5,2.7008860372746715
GPR137,2166,13,166.6153846153846,2.7192178429575313
HHATL,1836,11,166.9090909090909,2.725328444851818
PRPF19,2337,14,166.92857142857142,2.7314390467461047
PCK2,2505,15,167,2.7375496486403907
NXPH4,2007,12,167.25,2.7436602505346777
KLK12,1171,7,167.28571428571428,2.749770852428964
SLC2A9,2175,13,167.30769230769232,2.755881454323251
IFNA14,1004,6,167.33333333333334,2.7619920562175375
FXYD6-FXYD2,670,4,167.5,2.768102658111824
DDC,2012,12,167.66666666666666,2.774213260006111
RBM34,1847,11,167.9090909090909,2.780323861900397
SSTR5,2689,16,168.0625,2.786434463794684
RAET1L,1346,8,168.25,2.7925450656889703
NTN3,2188,13,168.30769230769232,2.798655667583257
KDF1,1855,11,168.63636363636363,2.8047662694775437
TREM2,1012,6,168.66666666666666,2.81087687137183
BTBD16,1856,11,168.72727272727272,2.816987473266117
AADACL4,2027,12,168.91666666666666,2.823098075160403
IRF2BP1,2534,15,168.93333333333334,2.82920867705469
EMILIN1,3890,23,169.1304347826087,2.8353192789489765
SDHB,1015,6,169.16666666666666,2.841429880843263
KRT28,1692,10,169.2,2.84754048273755
PAF1,2200,13,169.23076923076923,2.8536510846318364
PRPF6,3047,18,169.27777777777777,2.859761686526123
KLF15,2540,15,169.33333333333334,2.8658722884204093
MRPS26,1016,6,169.33333333333334,2.8658722884204093
KCNAB3,2879,17,169.35294117647058,2.8780934922089827
AMBP,1356,8,169.5,2.884204094103269
S100A7L2,339,2,169.5,2.884204094103269
SMTNL1,1695,10,169.5,2.884204094103269
LYPD4,2036,12,169.66666666666666,2.9025358997861286
SIGIRR,1867,11,169.72727272727272,2.9086465016804155
HSPB3,679,4,169.75,2.914757103574702
WLS,2716,16,169.75,2.914757103574702
C8B,2382,14,170.14285714285714,2.9269783073632754
TEKT4,2212,13,170.15384615384616,2.933088909257562
FAAH,2042,12,170.16666666666666,2.9391995111518487
NRN1L,681,4,170.25,2.9453101130461348
LRFN1,3579,21,170.42857142857142,2.9514207149404217
NME1-NME2,1193,7,170.42857142857142,2.9514207149404217
C6orf52,682,4,170.5,2.9636419187289946
PSMA7,1023,6,170.5,2.9636419187289946
CXXC1,2562,15,170.8,2.975863122517568
AMPD1,2392,14,170.85714285714286,2.981973724411855
FAM47A,2563,15,170.86666666666667,2.988084326306141
TMEM198,2393,14,170.92857142857142,2.994194928200428
ZCCHC13,855,5,171,3.0003055300947143
ZNF865,3763,22,171.04545454545453,3.006416131989001
RTN4RL2,2224,13,171.07692307692307,3.0125267338832877
ACTN3,3084,18,171.33333333333334,3.018637335777574
LRRC14B,2570,15,171.33333333333334,3.018637335777574
CCDC74A,1543,9,171.44444444444446,3.030858539566147
HHIPL2,2572,15,171.46666666666667,3.0369691414604336
CDCA7L,2915,17,171.47058823529412,3.0430797433547205
TFAP2D,2058,12,171.5,3.049190345249007
ZNF32,1201,7,171.57142857142858,3.0553009471432935
ADCK2,2574,15,171.6,3.0614115490375804
OR2K2,1373,8,171.625,3.067522150931867
ASMTL,2065,12,172.08333333333334,3.0736327528261533
WNT5B,2238,13,172.15384615384616,3.07974335472044
ALDOC,1722,10,172.2,3.0858539566147267
IMP4,2411,14,172.21428571428572,3.091964558509013
COL6A2,3446,20,172.3,3.0980751604032997
ANXA9,1551,9,172.33333333333334,3.1041857622975866
ZNF835,3448,20,172.4,3.1102963641918726
C1QL4,2073,12,172.75,3.1164069660861595
FBXW10,3456,20,172.8,3.122517567980446
OR10Q1,1037,6,172.83333333333334,3.128628169874733
APOD,1210,7,172.85714285714286,3.134738771769019
CTSW,1383,8,172.875,3.1408493736633054
MAGEE1,3633,21,173,3.1469599755575923
KAT2A,3115,18,173.05555555555554,3.153070577451879
ZDHHC1,2252,13,173.23076923076923,3.1591811793461657
CPT1C,2950,17,173.52941176470588,3.165291781240452
GAL3ST1,1909,11,173.54545454545453,3.1714023831347387
C11orf68,1562,9,173.55555555555554,3.1775129850290256
DUSP21,868,5,173.6,3.183623586923312
ARIH2OS,1042,6,173.66666666666666,3.1897341888175985
NUDT14,1042,6,173.66666666666666,3.1897341888175985
DPEP3,1737,10,173.7,3.201955392606172
CHAD,1739,10,173.9,3.2080659945004584
PYHIN1,2088,12,174,3.2141765963947444
TSSK1B,2437,14,174.07142857142858,3.2202871982890313
PSMB6,871,5,174.2,3.226397800183318
CHST13,1917,11,174.27272727272728,3.2325084020776043
NUDT1,872,5,174.4,3.238619003971891
LHB,524,3,174.66666666666666,3.2447296058661776
GTF2E2,1747,10,174.7,3.2508402077604646
PEX14,1922,11,174.72727272727272,3.256950809654751
EXOSC10,2796,16,174.75,3.2630614115490375
AUH,1574,9,174.88888888888889,3.2691720134433244
ADIRF,700,4,175,3.275282615337611
GSDMC,2450,14,175,3.275282615337611
SLC22A14,2277,13,175.15384615384616,3.2875038191261843
CARD16,1051,6,175.16666666666666,3.2936144210204708
G0S2,876,5,175.2,3.2997250229147568
ZFP36,1752,10,175.2,3.2997250229147568
APOA5,1929,11,175.36363636363637,3.31194622670333
DUOXA2,1755,10,175.5,3.3180568285976166
HAS1,2107,12,175.58333333333334,3.3241674304919036
CSN3,878,5,175.6,3.33027803238619
ADAM21,3161,18,175.61111111111111,3.3363886342804765
MRPL37,1582,9,175.77777777777777,3.3424992361747634
