hgnc_symbol,transcript_length,start_position,end_position,ensembl_gene_id,chromosome_name,mutation_count,mut_count_by_trans_len
DEFB105B,331,7479647,7481569,ENSG00000274729,CHR_HSCHR8_3_CTG1,28,0.08459214501510574
OR13F1,960,104504263,104505222,ENSG00000186881,9,81,0.084375
OR1N2,1103,122553112,122555173,ENSG00000171501,9,93,0.0843155031731641
OR2W3,945,247895587,247896531,ENSG00000238243,1,79,0.0835978835978836
FRG2C,2075,75664328,75667220,ENSG00000172969,3,173,0.08337349397590361
MUC3A,11248,100949534,100968347,ENSG00000169894,7,937,0.08330369843527738
OR2T27,1285,248649838,248655528,ENSG00000187701,1,107,0.08326848249027237
OR8S1,939,48525632,48526570,ENSG00000284723,12,77,0.08200212992545261
LCE1F,726,152775140,152777024,ENSG00000240386,1,59,0.081267217630854
TPSAB1,1357,1240379,1242554,ENSG00000172236,16,103,0.0759027266028003
TMEM244,589,129831244,129861547,ENSG00000203756,6,44,0.07470288624787776
OR52D1,1065,5488685,5489749,ENSG00000181609,11,79,0.07417840375586854
OR11H6,993,20223710,20224702,ENSG00000176219,14,72,0.07250755287009064
DEFB136,237,7978152,7978814,ENSG00000285087,CHR_HG76_PATCH,17,0.07172995780590717
PKD1L2,7379,81100875,81220370,ENSG00000166473,16,523,0.07087681257622984
OR52H1,1064,5544489,5548540,ENSG00000181616,11,75,0.07048872180451128
OR52E6,970,5840928,5841952,ENSG00000205409,11,67,0.06907216494845361
TAS2R42,945,11182250,11183194,ENSG00000273505,CHR_HSCHR12_3_CTG2,65,0.06878306878306878
ZNRF4,1440,5455417,5456856,ENSG00000105428,19,99,0.06875
OR8B2,1093,124382394,124384499,ENSG00000284680,11,75,0.0686184812442818
DEFB104B,281,7462290,7467065,ENSG00000277006,CHR_HSCHR8_3_CTG1,19,0.06761565836298933
APOBEC3H,1046,39097224,39104067,ENSG00000100298,22,68,0.06500956022944551
PSMD13,2200,236966,252984,ENSG00000185627,11,143,0.065
OR2T34,957,248573801,248574757,ENSG00000183310,1,62,0.06478578892371996
SAA2-SAA4,743,18231423,18248635,ENSG00000255071,11,48,0.06460296096904442
KRTAP22-1,296,30601087,30601382,ENSG00000186924,21,19,0.06418918918918919
TUBA3E,1518,130191745,130198439,ENSG00000152086,2,97,0.06389986824769434
MRPL39,1199,25585656,25607517,ENSG00000154719,21,76,0.0633861551292744
KRT40,2102,40977843,40987262,ENSG00000262845,CHR_HSCHR17_4_CTG4,133,0.06327307326355852
ECHDC3,1767,11742366,11764070,ENSG00000134463,10,108,0.06112054329371817
MIR5196,115,35345513,35345627,ENSG00000284034,19,7,0.06086956521739131
OR1D5,939,3062669,3063607,ENSG00000262628,17,57,0.06070287539936102
OR51A2,942,4954772,4955713,ENSG00000205496,11,57,0.06050955414012739
OR10X1,981,158578919,158579899,ENSG00000279111,1,59,0.060142711518858305
DEFB104A,316,7836436,7841242,ENSG00000176782,8,19,0.060126582278481014
GLTPD2,1217,4788964,4790589,ENSG00000182327,17,73,0.0599835661462613
OR51S1,972,4848237,4849208,ENSG00000176922,11,58,0.059670781893004114
KRTAP4-1,812,41184100,41184911,ENSG00000198443,17,48,0.059113300492610835
PRR23D2,1587,7778591,7781413,ENSG00000255378,8,93,0.05860113421550094
OR14C36,939,248348775,248349713,ENSG00000177174,1,55,0.058572949946751864
PRR23D1,1588,7539627,7542450,ENSG00000255251,8,93,0.058564231738035266
SLC22A24,2101,63079940,63144221,ENSG00000197658,11,123,0.05854355069014755
OR2T4,1047,248361581,248362627,ENSG00000275617,CHR_HSCHR1_ALT2_1_CTG32_1,61,0.05826170009551098
OR4D6,945,59456961,59457905,ENSG00000166884,11,55,0.0582010582010582
PIH1D1,1197,49446298,49453497,ENSG00000104872,19,69,0.05764411027568922
OR52J3,936,5046526,5047461,ENSG00000205495,11,53,0.056623931623931624
ZNF280A,2148,22522841,22529375,ENSG00000275499,CHR_HSCHR22_1_CTG3,121,0.05633147113594041
ASCL3,627,8937578,8943016,ENSG00000176009,11,35,0.05582137161084529
PTX4,1525,1485886,1488981,ENSG00000251692,16,85,0.05573770491803279
PRM3,431,11273199,11273629,ENSG00000178257,16,24,0.05568445475638051
KRTAP7-1,721,30829039,30829759,ENSG00000274749,21,40,0.05547850208044383
RFPL4A,1198,55759097,55763421,ENSG00000223638,19,66,0.05509181969949917
FGF6,945,4428155,4445815,ENSG00000111241,12,52,0.05502645502645503
OR52N4,1329,5754243,5755958,ENSG00000181074,11,73,0.05492851768246802
OR1A2,930,3197519,3198448,ENSG00000172150,17,51,0.054838709677419356
MIR1208,73,128150116,128150188,ENSG00000221261,8,4,0.0547945205479452
KRTAP10-1,1215,44538981,44540195,ENSG00000215455,21,66,0.05432098765432099
FCGBP,16389,39863324,39949893,ENSG00000281123,CHR_HG2021_PATCH,888,0.05418268350723046
DEFB107A,389,12013695,12017701,ENSG00000285432,CHR_HG76_PATCH,21,0.05398457583547558
DEFB107B,389,7487822,7501287,ENSG00000277530,CHR_HSCHR8_3_CTG1,21,0.05398457583547558
HAVCR1,1845,157029413,157059119,ENSG00000113249,5,99,0.05365853658536585
UPK3A,1084,45284949,45295874,ENSG00000100373,22,58,0.05350553505535055
CD52,581,26317958,26320523,ENSG00000169442,1,31,0.05335628227194492
SERPINB11,1918,63647579,63726432,ENSG00000206072,18,102,0.053180396246089674
OBP2A,914,135546126,135549969,ENSG00000122136,9,48,0.0525164113785558
CBR3,998,36135079,36146562,ENSG00000159231,21,52,0.052104208416833664
MIR888,77,145994784,145994860,ENSG00000216005,X,4,0.05194805194805195
ALPK2,7437,58481247,58629091,ENSG00000198796,18,385,0.05176818609654431
TCF15,1006,604257,610309,ENSG00000125878,20,52,0.05168986083499006
OR5P2,1069,7795905,7796973,ENSG00000276025,CHR_HSCHR11_1_CTG5,55,0.05144995322731525
OR5W2,933,55913650,55914582,ENSG00000187612,11,48,0.05144694533762058
OR52E2,978,5058650,5059627,ENSG00000176787,11,50,0.05112474437627812
C8G,881,136945185,136946975,ENSG00000176919,9,45,0.0510783200908059
PARP4,5437,24420931,24512778,ENSG00000102699,13,277,0.05094721353687695
SPINK5,3656,148025683,148137382,ENSG00000133710,5,186,0.05087527352297593
CRYGB,631,208142573,208146158,ENSG00000182187,2,32,0.05071315372424723
DEFB106B,316,7474484,7478378,ENSG00000275794,CHR_HSCHR8_3_CTG1,16,0.05063291139240506
CYP2A7,2128,40875439,40882752,ENSG00000198077,19,107,0.050281954887218046
LRCOL1,1004,132603150,132610582,ENSG00000204583,12,50,0.049800796812749
AKAP3,3334,4615508,4649051,ENSG00000111254,12,166,0.04979004199160168
PRSS48,989,151277171,151291453,ENSG00000189099,4,49,0.04954499494438827
LYZL1,811,29289061,29318328,ENSG00000120563,10,40,0.04932182490752158
C11orf16,1866,8920076,8933006,ENSG00000176029,11,92,0.04930332261521972
MIR4744,82,49049687,49049768,ENSG00000263849,18,4,0.04878048780487805
POM121L12,1293,53035633,53036925,ENSG00000221900,7,63,0.048723897911832945
OR2C1,1418,3355889,3357306,ENSG00000168158,16,69,0.04866008462623413
TCP10L2,2159,167146414,167196913,ENSG00000166984,6,105,0.04863362667901806
OR4K1,1358,19930917,19936757,ENSG00000155249,14,66,0.048600883652430045
FRG1,1074,189944765,189967182,ENSG00000275145,CHR_HSCHR4_6_CTG12,52,0.048417132216014895
DEFB106A,336,7825139,7829053,ENSG00000186579,8,16,0.047619047619047616
OR2T3,1008,248479392,248480399,ENSG00000278377,CHR_HSCHR1_2_CTG32_1,48,0.047619047619047616
WFDC3,990,45747944,45791932,ENSG00000124116,20,47,0.047474747474747475
KLRC4,928,10407384,10409757,ENSG00000183542,12,44,0.047413793103448273
OR14A16,1367,247814660,247824119,ENSG00000196772,1,64,0.04681784930504755
OR1S1,1474,58212720,58216084,ENSG00000280204,11,69,0.046811397557666216
OPN1MW2,1261,154219756,154233286,ENSG00000166160,X,59,0.046788263283108644
CST1,749,23747562,23751268,ENSG00000170373,20,35,0.04672897196261682
S100P,471,6693878,6697170,ENSG00000163993,4,22,0.04670912951167728
KRTAP10-9,1286,44627093,44628378,ENSG00000221837,21,60,0.04665629860031104
RFPL2,2407,32190435,32205073,ENSG00000128253,22,112,0.04653095139177399
KLRF2,731,9881489,9895833,ENSG00000256797,12,34,0.046511627906976744
FAM71E2,3191,55354908,55363260,ENSG00000180043,19,148,0.046380445001566906
TAF1B,2267,9843443,9934416,ENSG00000115750,2,105,0.04631671812968681
OR4C46,930,54603069,54603998,ENSG00000185926,11,43,0.046236559139784944
TM4SF5,932,4771884,4783213,ENSG00000142484,17,43,0.046137339055793994
CLC,631,39731255,39738029,ENSG00000105205,19,29,0.04595879556259905
FIGLA,722,70777310,70790643,ENSG00000183733,2,33,0.045706371191135735
OR2D2,927,6891574,6892500,ENSG00000166368,11,42,0.045307443365695796
OR4B1,930,48216810,48217739,ENSG00000175619,11,42,0.04516129032258064
SAA2,1022,18239223,18248668,ENSG00000134339,11,46,0.04500978473581213
KRT32,2005,41459513,41467386,ENSG00000108759,17,90,0.04488778054862843
CA6,1493,8945867,8975092,ENSG00000131686,1,67,0.044876088412592094
TSPAN10,1896,81637171,81648749,ENSG00000182612,17,85,0.044831223628691984
KRTAP12-2,739,44666189,44666927,ENSG00000221864,21,33,0.044654939106901215
SLC2A9,2175,9771153,10054936,ENSG00000109667,4,97,0.04459770114942529
PYDC2,294,191461163,191461456,ENSG00000253548,3,13,0.04421768707482993
KRTAP19-4,342,30496824,30497165,ENSG00000186967,21,15,0.043859649122807015
OR10G9,936,124023013,124023948,ENSG00000236981,11,41,0.0438034188034188
FGFBP2,1105,15960245,15969309,ENSG00000137441,4,48,0.04343891402714932
AHSA1,1337,77457870,77469472,ENSG00000100591,14,58,0.04338070306656694
GRIN3B,3281,1000419,1009732,ENSG00000116032,19,142,0.0432794879609875
KRTAP25-1,370,30289145,30289514,ENSG00000232263,21,16,0.043243243243243246
SLC29A3,2621,71319259,71381423,ENSG00000198246,10,113,0.04311331552842427
TNFRSF6B,1140,63696652,63698684,ENSG00000243509,20,49,0.04298245614035088
PABPC3,3119,25096136,25099254,ENSG00000151846,13,134,0.04296248797691568
TPSG1,1119,1221651,1225268,ENSG00000116176,16,48,0.04289544235924933
MPHOSPH6,1101,82147798,82170224,ENSG00000135698,16,47,0.04268846503178928
PRG3,869,57376769,57381150,ENSG00000156575,11,37,0.04257767548906789
GZMA,896,55102646,55110252,ENSG00000145649,5,38,0.04241071428571429
SH3BGR,1109,39445855,39515506,ENSG00000185437,21,47,0.04238052299368801
APOBEC3B,1844,38982347,38992804,ENSG00000179750,22,78,0.04229934924078091
C1orf68,949,152719522,152720470,ENSG00000198854,1,40,0.04214963119072708
DAPL1,671,158795317,158862781,ENSG00000163331,2,28,0.041728763040238454
IL37,864,112911165,112918882,ENSG00000125571,2,36,0.041666666666666664
RSPH10B2,3220,6754109,6799365,ENSG00000169402,7,134,0.04161490683229813
GPRIN2,9279,46541736,46556658,ENSG00000204175,10,386,0.04159931027050329
RSPH10B,3222,5925550,5970683,ENSG00000155026,7,134,0.04158907510862818
DKKL1,939,49361783,49375116,ENSG00000104901,19,39,0.04153354632587859
DEFB126,434,142590,145751,ENSG00000125788,20,18,0.041474654377880185
NEIL3,2363,177309874,177362936,ENSG00000109674,4,98,0.0414727041895895
SERPINA9,1839,94462717,94479689,ENSG00000170054,14,76,0.0413268080478521
RTP4,1501,187368385,187372076,ENSG00000136514,3,62,0.041305796135909394
PRSS57,1090,685546,695498,ENSG00000185198,19,45,0.04128440366972477
NMS,485,100470482,100483280,ENSG00000204640,2,20,0.041237113402061855
LAMTOR4,730,100148912,100155944,ENSG00000188186,7,30,0.0410958904109589
SIRPG,1732,1629152,1657779,ENSG00000089012,20,71,0.040993071593533485
SAA1,904,18266260,18269977,ENSG00000173432,11,37,0.04092920353982301
OR8K1,960,56346039,56346998,ENSG00000263328,CHR_HG142_HG150_NOVEL_TEST,39,0.040625
SMR3A,666,70360760,70367158,ENSG00000109208,4,27,0.04054054054054054
"NAT8B",765,73700576,73701340,ENSG00000204872,2,31,0.040522875816993466
KRT13,1835,41500981,41505705,ENSG00000171401,17,74,0.040326975476839236
OR2D3,993,6921002,6921994,ENSG00000178358,11,40,0.04028197381671702
OR13D1,945,104694518,104695462,ENSG00000179055,9,38,0.04021164021164021
LGALS14,773,39704481,39709444,ENSG00000006659,19,31,0.040103492884864166
PRM1,399,11280841,11281330,ENSG00000175646,16,16,0.040100250626566414
MS4A13,949,60515392,60542721,ENSG00000204979,11,38,0.040042149631190724
B3GNT8,1874,41425359,41428730,ENSG00000177191,19,75,0.040021344717182494
ERICH2,601,170783786,170798971,ENSG00000204334,2,24,0.03993344425956739
NT5C3B,1729,41825057,41836260,ENSG00000141698,17,69,0.03990746096009254
CELA1,953,51328442,51346679,ENSG00000139610,12,38,0.03987408184679958
MST1L,3995,16754910,16770237,ENSG00000186715,1,159,0.039799749687108886
DEFB128,403,187853,189711,ENSG00000185982,20,16,0.03970223325062035
SIGLEC12,2269,51491227,51501800,ENSG00000254521,19,90,0.03966505068312032
OVGP1,2196,111414319,111427735,ENSG00000085465,1,87,0.03961748633879782
AQP12A,1063,240691866,240698483,ENSG00000184945,2,42,0.03951081843838194
FAM187B,1194,35224800,35228739,ENSG00000177558,19,47,0.03936348408710218
EBLN2,1679,73061659,73063337,ENSG00000255423,3,66,0.039309112567004166
OR5B3,1046,58402464,58406874,ENSG00000172769,11,41,0.03919694072657744
MAGEB16,1818,35798342,35803735,ENSG00000189023,X,71,0.03905390539053905
KRTAP12-3,410,44657932,44658341,ENSG00000205439,21,16,0.03902439024390244
SYCE1L,1057,77199408,77213215,ENSG00000205078,16,41,0.03878902554399243
THEM5,1161,151847101,151853712,ENSG00000196407,1,45,0.03875968992248062
AMTN,1009,70518569,70532743,ENSG00000187689,4,39,0.03865213082259663
CELA3A,906,22001657,22012542,ENSG00000142789,1,35,0.03863134657836645
WDR38,1323,124853417,124857890,ENSG00000136918,9,51,0.03854875283446712
DHDH,1064,48933699,48944969,ENSG00000104808,19,41,0.03853383458646616
CLPSL1,598,35781019,35793675,ENSG00000204140,6,23,0.038461538461538464
PKD1L3,5623,71929538,72000402,ENSG00000277481,16,216,0.038413658189578516
ANKK1,2553,113387779,113400416,ENSG00000170209,11,98,0.038386212299255776
ESPNL,4653,238100340,238133287,ENSG00000144488,2,178,0.03825488931871911
OR5D14,945,55795556,55796500,ENSG00000186113,11,36,0.0380952380952381
HES3,710,6244179,6245578,ENSG00000173673,1,27,0.038028169014084505
OR2T35,2957,248636356,248645278,ENSG00000177151,1,112,0.037876225904633076
MAGEC1,4256,141903894,141909374,ENSG00000155495,X,161,0.03782894736842105
CPO,1245,206939518,206969474,ENSG00000144410,2,47,0.03775100401606426
OR2G2,954,247588360,247589313,ENSG00000177489,1,36,0.03773584905660377
APOL4,3423,36189124,36204840,ENSG00000100336,22,129,0.03768624014022787
GAA,3751,80101556,80119881,ENSG00000171298,17,141,0.037589976006398296
HELZ2,8064,63558086,63574239,ENSG00000130589,20,302,0.037450396825396824
CCDC9,2163,47255980,47273701,ENSG00000105321,19,81,0.03744798890429958
APOC4,616,44942237,44945496,ENSG00000267467,19,23,0.037337662337662336
CTU2,1905,88706483,88715396,ENSG00000174177,16,71,0.03727034120734908
SLC6A18,2095,1225381,1246189,ENSG00000164363,5,78,0.037231503579952266
OR1S2,941,58203202,58204142,ENSG00000197887,11,35,0.03719447396386823
OR2T29,2637,248556912,248562772,ENSG00000182783,1,98,0.037163443306788016
SPRR1B,619,153031203,153032900,ENSG00000169469,1,23,0.03715670436187399
OR51I1,945,5440570,5441514,ENSG00000167359,11,35,0.037037037037037035
CYBA,1415,88643289,88651054,ENSG00000051523,16,52,0.03674911660777385
MROH5,4164,141433829,141507230,ENSG00000226807,8,153,0.03674351585014409
PEBP4,901,22713251,23000000,ENSG00000134020,8,33,0.03662597114317425
GAST,465,41712331,41715969,ENSG00000184502,17,17,0.03655913978494624
KRTAP10-5,1150,44579455,44580604,ENSG00000241123,21,42,0.036521739130434785
SPIN2B,1261,57118551,57121548,ENSG00000186787,X,46,0.03647898493259318
C4orf45,1263,158893134,159038760,ENSG00000164123,4,46,0.03642121931908155
OR52W1,963,6199224,6200186,ENSG00000175485,11,35,0.036344755970924195
FBP1,1487,94603133,94640249,ENSG00000165140,9,54,0.0363147276395427
CCL25,1157,8052318,8062660,ENSG00000131142,19,42,0.036300777873811585
CPZ,2538,8592660,8619759,ENSG00000109625,4,92,0.036249014972419225
CRCT1,718,152514482,152516008,ENSG00000169509,1,26,0.036211699164345405
C1orf167,4672,11761787,11789585,ENSG00000215910,1,169,0.03617294520547945
C5orf52,721,157671533,157680158,ENSG00000187658,5,26,0.036061026352288486
MRC1,5188,17809348,17911164,ENSG00000260314,10,187,0.036044718581341555
OR5P3,1193,7834940,7840960,ENSG00000280808,CHR_HSCHR11_1_CTG1_2,43,0.03604358759430008
TSHB,528,115029826,115034302,ENSG00000134200,1,19,0.03598484848484849
OR1Q1,945,122614738,122615682,ENSG00000165202,9,34,0.03597883597883598
FNDC1,6548,159169400,159272108,ENSG00000164694,6,235,0.03588882101405009
MROH2A,5350,233775679,233833423,ENSG00000185038,2,192,0.03588785046728972
DEFB127,530,157454,159163,ENSG00000088782,20,19,0.035849056603773584
BCL2A1,809,79960892,79971196,ENSG00000140379,15,29,0.03584672435105068
C10orf120,1088,122697709,122699846,ENSG00000183559,10,39,0.035845588235294115
MLN,558,33794673,33804003,ENSG00000096395,6,20,0.035842293906810034
MBD3L1,893,8832377,8843340,ENSG00000170948,19,32,0.03583426651735722
CCDC110,3044,185445182,185471752,ENSG00000168491,4,109,0.03580814717477004
KRTAP12-4,447,44654213,44654659,ENSG00000212933,21,16,0.035794183445190156
TJP3,3076,3708362,3750813,ENSG00000105289,19,110,0.03576072821846554
CLPSL2,532,35776594,35779552,ENSG00000196748,6,19,0.03571428571428571
PLBD1,1960,14503661,14567883,ENSG00000121316,12,70,0.03571428571428571
BPIFB4,2525,33079643,33111751,ENSG00000186191,20,90,0.03564356435643564
NRAP,5613,113588714,113664070,ENSG00000197893,10,200,0.035631569570639586
OR13H1,927,131544074,131545000,ENSG00000171054,X,33,0.03559870550161812
HS3ST6,1273,1913487,1920464,ENSG00000276333,CHR_HSCHR16_4_CTG1,45,0.03534956794972506
HSPB3,679,54455699,54456377,ENSG00000169271,5,24,0.035346097201767304
PTCHD3,3595,27397121,27414368,ENSG00000182077,10,127,0.03532684283727399
CSN3,878,70238382,70251474,ENSG00000171209,4,31,0.03530751708428246
KRT19,1390,41523617,41528308,ENSG00000171345,17,49,0.03525179856115108
WFS1,3662,6269849,6303265,ENSG00000109501,4,129,0.035226652102676136
AGXT2,2219,34998101,35048135,ENSG00000113492,5,78,0.03515096890491212
FPR1,1965,51745172,51804110,ENSG00000171051,19,69,0.035114503816793895
CAP1,3105,40040233,40072649,ENSG00000131236,1,109,0.03510466988727858
MSGN1,1339,17816460,17817798,ENSG00000151379,2,47,0.0351008215085885
C1QTNF9,1854,24307166,24322535,ENSG00000240654,13,65,0.03505933117583603
OR4C15,1113,55554307,55555419,ENSG00000181939,11,39,0.03504043126684636
PERM1,3340,975204,982093,ENSG00000187642,1,117,0.03502994011976048
"NAT2",1285,18391282,18401218,ENSG00000156006,8,45,0.03501945525291829
OR5F1,945,55993681,55994625,ENSG00000149133,11,33,0.03492063492063492
C5orf46,573,147880726,147906538,ENSG00000178776,5,20,0.034904013961605584
FAM205A,4248,34723053,34729488,ENSG00000205108,9,148,0.03483992467043315
IL36A,890,113005459,113008044,ENSG00000136694,2,31,0.0348314606741573
NLRP13,3533,55891699,55932336,ENSG00000173572,19,123,0.03481460515142938
GUCA1C,977,108907792,108953879,ENSG00000138472,3,34,0.03480040941658137
KRT83,1875,52314301,52321398,ENSG00000170523,12,65,0.034666666666666665
PSCA,982,142670308,142682725,ENSG00000167653,8,34,0.034623217922606926
OR6Q1,954,58030953,58031906,ENSG00000279051,11,33,0.03459119496855346
CEACAM18,1476,51478622,51490952,ENSG00000213822,19,51,0.034552845528455285
KRT7,1625,52232520,52252186,ENSG00000135480,12,56,0.03446153846153846
ECHS1,1277,133362485,133373354,ENSG00000127884,10,44,0.03445575567736883
CEACAM20,2119,44501677,44529788,ENSG00000273777,19,73,0.034450212364322795
KIF2B,2267,53822927,53825193,ENSG00000141200,17,78,0.03440670489633877
LAMA5,11426,62307955,62367312,ENSG00000130702,20,393,0.034395238928758974
EDDM3A,932,20745887,20748380,ENSG00000181562,14,32,0.034334763948497854
ISG15,787,1001138,1014540,ENSG00000187608,1,27,0.03430749682337993
ELSPBP1,1079,47994632,48025154,ENSG00000169393,19,37,0.03429101019462465
PRG2,1431,57386780,57390650,ENSG00000186652,11,49,0.03424178895877009
RIBC2,1490,45413693,45432509,ENSG00000128408,22,51,0.03422818791946309
PSMA7,1023,62136733,62143440,ENSG00000101182,20,35,0.03421309872922776
MMP27,1876,102691487,102705769,ENSG00000137675,11,64,0.03411513859275053
SULT6B1,1057,37167820,37196598,ENSG00000138068,2,36,0.03405865657521287
BRICD5,826,2209253,2210905,ENSG00000182685,16,28,0.03389830508474576
ODF4,1180,8339840,8346048,ENSG00000184650,17,40,0.03389830508474576
PUS3,1829,125893485,125903221,ENSG00000110060,11,62,0.03389830508474576
GPR20,1564,141356470,141367286,ENSG00000204882,8,53,0.03388746803069054
CELA2B,915,15465909,15491395,ENSG00000215704,1,31,0.033879781420765025
OR52R1,948,4803433,4804380,ENSG00000279270,11,32,0.03375527426160337
SPINT3,474,45512461,45515622,ENSG00000101446,20,16,0.03375527426160337
R3HCC1,1573,23270120,23296279,ENSG00000104679,8,53,0.033693579148124604
TPSD1,1573,1256059,1259008,ENSG00000095917,16,53,0.033693579148124604
DTX2,2769,76461676,76505995,ENSG00000091073,7,93,0.03358613217768147
OR10R2,1132,158472220,158480936,ENSG00000198965,1,38,0.03356890459363958
OR1L6,1044,122742303,122750783,ENSG00000171459,9,35,0.033524904214559385
SPACA7,807,112360163,112418533,ENSG00000275865,CHR_HSCHR13_1_CTG1,27,0.03345724907063197
TMEM177,1738,119679167,119686507,ENSG00000144120,2,58,0.0333716915995397
OR6N1,2640,158747814,158772195,ENSG00000197403,1,88,0.03333333333333333
COQ3,1325,99369401,99394195,ENSG00000132423,6,44,0.03320754716981132
FAM131C,1720,16057769,16073651,ENSG00000185519,1,57,0.03313953488372093
ZNF443,2573,12429706,12441021,ENSG00000180855,19,85,0.033035367275553826
GZMM,941,544034,549924,ENSG00000197540,19,31,0.03294367693942614
LBP,1825,38346482,38377013,ENSG00000129988,20,60,0.03287671232876712
OR4K15,975,19975591,19976565,ENSG00000169488,14,32,0.03282051282051282
RP1L1,8014,10606349,10712187,ENSG00000183638,8,263,0.03281756925380584
POMZP3,1587,76597802,76615077,ENSG00000276464,CHR_HSCHR7_2_CTG4_4,52,0.03276622558286074
PADI4,2267,17310905,17366713,ENSG00000280908,CHR_HG2095_PATCH,74,0.032642258491398325
VPREB1,644,22244780,22245515,ENSG00000169575,22,21,0.03260869565217391
ULK4,4294,41246599,41962130,ENSG00000168038,3,140,0.032603632976245925
KRT27,1628,40776808,40782550,ENSG00000171446,17,53,0.032555282555282554
ADH4,2151,99123657,99157792,ENSG00000198099,4,70,0.032543003254300325
SLC9C1,4119,112140898,112303675,ENSG00000285044,CHR_HSCHR3_6_CTG2_1,134,0.03253216800194222
SPNS3,1877,4433940,4488208,ENSG00000182557,17,61,0.03249866808737347
IFI35,1232,43006740,43014456,ENSG00000068079,17,40,0.032467532467532464
USP20,4470,129834698,129881828,ENSG00000136878,9,145,0.03243847874720358
OR13C2,957,104604671,104605627,ENSG00000276119,9,31,0.03239289446185998
CD177,2195,43353686,43363172,ENSG00000204936,19,71,0.03234624145785877
CNPPD1,2073,219171897,219178106,ENSG00000115649,2,67,0.032320308731307285
ART5,1241,3638512,3642316,ENSG00000167311,11,40,0.032232070910556
LY96,559,73991392,74029079,ENSG00000154589,8,18,0.03220035778175313
SCGB1C1,435,193078,194575,ENSG00000188076,11,14,0.03218390804597701
REP15,1150,27696447,27697596,ENSG00000174236,12,37,0.03217391304347826
ODF1,1026,102551589,102561018,ENSG00000155087,8,33,0.03216374269005848
MROH2B,5280,40998017,41071342,ENSG00000171495,5,169,0.032007575757575756
LTF,2721,46435645,46485234,ENSG00000012223,3,87,0.03197353914002205
LGALS7B,532,38770969,38773523,ENSG00000282902,CHR_HG26_PATCH,17,0.03195488721804511
ADAM8,3259,133262420,133276868,ENSG00000151651,10,104,0.03191162933415158
AOC1,3135,150824627,150861504,ENSG00000002726,7,100,0.03189792663476874
POLR1E,2229,37485948,37503697,ENSG00000137054,9,71,0.031852848811126065
CDK11A,2984,1702379,1724357,ENSG00000008128,1,95,0.03183646112600536
KANK4,5499,62236165,62319434,ENSG00000132854,1,175,0.03182396799418076
SLC22A1,1922,160121815,160158718,ENSG00000175003,6,61,0.03173777315296566
SERPINB5,2586,63476958,63505085,ENSG00000206075,18,82,0.0317092034029389
OTOP3,2337,74935898,74949992,ENSG00000182938,17,74,0.031664527171587506
OR51V1,948,5199735,5200682,ENSG00000176742,11,30,0.03164556962025317
TRH,1580,129974688,129977935,ENSG00000170893,3,50,0.03164556962025317
GPRC6A,2908,116792085,116829083,ENSG00000173612,6,92,0.03163686382393398
