hgnc_symbol,transcript_length,start_position,end_position,ensembl_gene_id,chromosome_name,mutation_count,mut_count_by_trans_len
IRX1,2080,3595832,3601403,ENSG00000170549,5,16,0.007692307692307693
ZBTB45,2352,58513530,58538911,ENSG00000119574,19,18,0.007653061224489796
CCDC33,2750,74202705,74338316,ENSG00000288407,CHR_HG2198_PATCH,21,0.0076363636363636364
PEMT,1050,17505563,17591708,ENSG00000133027,17,8,0.007619047619047619
REC114,920,73443164,73560013,ENSG00000183324,15,7,0.007608695652173913
LIN7B,1057,49114324,49118460,ENSG00000104863,19,8,0.007568590350047304
DEFB110,397,50009138,50021994,ENSG00000203970,6,3,0.007556675062972292
COL6A2,3446,46098112,46132848,ENSG00000142173,21,26,0.0075449796865931515
F2,1990,46719196,46739506,ENSG00000180210,11,15,0.007537688442211055
SCO2,1068,50523568,50526461,ENSG00000284194,22,8,0.00749063670411985
DDC,2012,50458436,50565405,ENSG00000132437,7,15,0.007455268389662028
OR5D13,945,55773438,55774382,ENSG00000279761,11,7,0.007407407407407408
ADCK5,2027,144373101,144393242,ENSG00000285451,CHR_HG2419_PATCH,15,0.00740009866798224
ABHD16B,1491,63861498,63862988,ENSG00000183260,20,11,0.007377598926894702
RSPH6A,2442,45795713,45815308,ENSG00000104941,19,18,0.007371007371007371
ABCA2,8151,137007234,137028915,ENSG00000107331,9,60,0.00736105999263894
SRRT,2990,100875103,100888664,ENSG00000087087,7,22,0.007357859531772575
PTPRS,7356,5158495,5340812,ENSG00000105426,19,54,0.00734094616639478
CLPTM1,2732,44954585,44993341,ENSG00000104853,19,20,0.007320644216691069
CD79A,1099,41877279,41881372,ENSG00000105369,19,8,0.007279344858962694
C11orf52,1104,111918032,111926871,ENSG00000149300,11,8,0.007246376811594203
WDR18,1521,984332,998438,ENSG00000065268,19,11,0.007232084155161078
PTGIR,2078,46620468,46625089,ENSG00000160013,19,15,0.007218479307025986
PTX4,1525,1485886,1488981,ENSG00000251692,16,11,0.007213114754098361
SLC45A1,2496,8318114,8344167,ENSG00000162426,1,18,0.007211538461538462
TMEM238,695,55379244,55384292,ENSG00000233493,19,5,0.007194244604316547
CCIN,1947,36169388,36171334,ENSG00000185972,9,14,0.007190549563430919
GJA8,1392,147902795,147909269,ENSG00000121634,1,10,0.007183908045977011
PPP1R32,1532,61481120,61490931,ENSG00000162148,11,11,0.007180156657963447
ACTL9,1396,8697400,8698795,ENSG00000181786,19,10,0.0071633237822349575
TEX13A,1397,105218929,105220694,ENSG00000268629,X,10,0.0071581961345740875
LIM2,983,51379909,51387974,ENSG00000105370,19,7,0.007121057985757884
TMEM121,1548,105526583,105530202,ENSG00000184986,14,11,0.0071059431524547806
ODF3L1,1132,75724041,75727688,ENSG00000182950,15,8,0.007067137809187279
POU1F1,1566,87259404,87276584,ENSG00000064835,3,11,0.0070242656449553
IL17B,712,149371324,149404202,ENSG00000127743,5,5,0.007022471910112359
ZSCAN10,2716,3088890,3099295,ENSG00000130182,16,19,0.006995581737849779
GPR39,2576,132416805,132646582,ENSG00000183840,2,18,0.006987577639751553
OTOL1,1434,161496808,161503942,ENSG00000182447,3,10,0.00697350069735007
OPLAH,4020,144051266,144063965,ENSG00000178814,8,28,0.006965174129353234
OVOL2,1583,17956979,18059188,ENSG00000125850,20,11,0.006948831332912192
C11orf42,1154,6205557,6211135,ENSG00000180878,11,8,0.006932409012131715
CDH23,11138,71396920,71815947,ENSG00000107736,10,77,0.006913269886873765
LRP3,4058,33177603,33208864,ENSG00000130881,19,28,0.006899950714637753
TOP1MT,2029,143304384,143359979,ENSG00000184428,8,14,0.006899950714637753
MRGPRG,870,3217944,3218813,ENSG00000182170,11,6,0.006896551724137931
SMOX,2322,4120980,4187747,ENSG00000088826,20,16,0.0068906115417743325
KIF19,3629,74326210,74355820,ENSG00000196169,17,25,0.006888950124001102
SPEM1,1018,7420324,7421632,ENSG00000284598,CHR_HG2046_PATCH,7,0.0068762278978389
TRIP6,1750,100867387,100873454,ENSG00000087077,7,12,0.006857142857142857
NPM3,877,101781325,101783413,ENSG00000107833,10,6,0.0068415051311288486
SHKBP1,2341,40576853,40591399,ENSG00000160410,19,16,0.006834686031610423
CCDC105,1757,15010726,15023276,ENSG00000160994,19,12,0.006829823562891292
TAAR8,1029,132552693,132553721,ENSG00000146385,6,7,0.006802721088435374
MAST1,4853,12833951,12874952,ENSG00000105613,19,33,0.006799917576756645
SUCLG1,1765,84423528,84460045,ENSG00000163541,2,12,0.006798866855524079
CABP2,1178,67518912,67524517,ENSG00000167791,11,8,0.006791171477079796
ARRB2,1779,4710596,4721499,ENSG00000141480,17,12,0.006745362563237774
SPATA25,742,45886491,45887622,ENSG00000149634,20,5,0.006738544474393531
NUDT14,1042,105172938,105181323,ENSG00000183828,14,7,0.0067178502879078695
SYNGR4,1042,48364367,48376377,ENSG00000105467,19,7,0.0067178502879078695
ACTL7A,1491,108862266,108863756,ENSG00000187003,9,10,0.00670690811535882
CA6,1493,8945867,8975092,ENSG00000131686,1,10,0.006697923643670462
CPSF1,4480,144393229,144409335,ENSG00000285049,CHR_HG2419_PATCH,30,0.006696428571428571
OSGIN1,2391,83931311,83966332,ENSG00000140961,16,16,0.006691760769552488
DEFB135,299,11982256,11984590,ENSG00000205883,8,2,0.006688963210702341
CHRNA10,1945,3665587,3671384,ENSG00000129749,11,13,0.006683804627249357
GGN,2245,38384267,38388082,ENSG00000179168,19,15,0.0066815144766146995
UCKL1,1954,63939829,63956416,ENSG00000198276,20,13,0.006653019447287615
ABCB6,3008,219209772,219218994,ENSG00000115657,2,20,0.006648936170212766
CATSPER3,1355,134967907,135011696,ENSG00000152705,5,9,0.006642066420664207
MYBPC3,4217,47331406,47352702,ENSG00000134571,11,28,0.006639791320844202
ROM1,1358,62611722,62615116,ENSG00000149489,11,9,0.0066273932253313695
MSLN,2418,760734,768865,ENSG00000102854,16,16,0.006617038875103391
SLC17A1,1819,25782915,25832052,ENSG00000124568,6,12,0.006597031335898846
OR4C12,1063,49981473,49982535,ENSG00000284255,CHR_HG1708_PATCH,7,0.00658513640639699
DCST1,2279,155033824,155050930,ENSG00000163357,1,15,0.006581834137779728
DHDH,1064,48933699,48944969,ENSG00000104808,19,7,0.006578947368421052
OR52H1,1064,5544489,5548540,ENSG00000181616,11,7,0.006578947368421052
FES,2737,90883695,90895776,ENSG00000182511,15,18,0.006576543660942638
GRN,2130,44345246,44353106,ENSG00000030582,17,14,0.006572769953051643
OR52D1,1065,5488685,5489749,ENSG00000181609,11,7,0.006572769953051643
UCP2,1675,73974672,73982843,ENSG00000175567,11,11,0.006567164179104477
PDHA2,1372,95840093,95841464,ENSG00000163114,4,9,0.006559766763848397
CCKBR,2138,6259806,6272127,ENSG00000110148,11,14,0.006548175865294668
PKN1,3518,14433053,14471867,ENSG00000123143,19,23,0.006537805571347356
ADRM1,1530,62302093,62308862,ENSG00000130706,20,10,0.006535947712418301
FIBP,1378,65883740,65888531,ENSG00000172500,11,9,0.006531204644412192
GUCY2D,3680,8002615,8020342,ENSG00000132518,17,24,0.006521739130434782
AKAP14,921,119895837,119920716,ENSG00000186471,X,6,0.006514657980456026
PTGDS,921,136975092,136981742,ENSG00000107317,9,6,0.006514657980456026
SLC4A11,3229,3227417,3239559,ENSG00000088836,20,21,0.006503561474140601
FABP6,769,160187367,160238735,ENSG00000170231,5,5,0.006501950585175552
ZNF653,2154,11483427,11505839,ENSG00000161914,19,14,0.0064995357474466105
SLC5A2,2467,31483002,31490860,ENSG00000140675,16,16,0.0064856100526955816
TOM1,2622,35299275,35347992,ENSG00000100284,22,17,0.0064836003051106025
RUVBL2,1853,48993562,49015970,ENSG00000183207,19,12,0.0064759848893685915
ZNF628,3562,55476617,55484487,ENSG00000197483,19,23,0.006457046603032005
OR5AC2,930,98087173,98088102,ENSG00000196578,3,6,0.0064516129032258064
TYROBP,620,35904401,35908295,ENSG00000011600,19,4,0.0064516129032258064
ATP4A,3721,35550031,35563658,ENSG00000105675,19,24,0.0064498790647675355
MFSD3,1552,144509070,144511213,ENSG00000167700,8,10,0.006443298969072165
EXOSC10,2796,11066618,11099869,ENSG00000171824,1,18,0.006437768240343348
TM4SF5,932,4771884,4783213,ENSG00000142484,17,6,0.006437768240343348
TEAD4,1710,2959330,3040676,ENSG00000197905,12,11,0.006432748538011696
LRRC43,2022,122167738,122203471,ENSG00000158113,12,13,0.006429277942631058
TAF6L,2023,62771357,62787342,ENSG00000162227,11,13,0.006426099851705388
SRRM2,9044,2752626,2772538,ENSG00000167978,16,58,0.006413091552410438
SPNS3,1877,4433940,4488208,ENSG00000182557,17,12,0.006393180607352157
FBN3,9232,8065402,8149592,ENSG00000142449,19,59,0.006390814558058925
DKKL1,939,49361783,49375116,ENSG00000104901,19,6,0.006389776357827476
OR13J1,939,35869463,35870401,ENSG00000168828,9,6,0.006389776357827476
SUN5,1252,32983773,33004433,ENSG00000167098,20,8,0.006389776357827476
OR51Q1,1096,5422111,5423206,ENSG00000167360,11,7,0.006386861313868613
C1QB,1098,22652762,22661637,ENSG00000173369,1,7,0.006375227686703097
LRP5,5177,68312591,68449275,ENSG00000162337,11,33,0.006374348078037473
BTBD17,1727,74356416,74361868,ENSG00000204347,17,11,0.006369426751592357
OR4A15,945,55367974,55368918,ENSG00000181958,11,6,0.006349206349206349
ABCF3,2844,184186095,184194012,ENSG00000161204,3,18,0.006329113924050633
OR1K1,951,122800123,122801073,ENSG00000165204,9,6,0.006309148264984227
RNASE8,634,21057822,21058455,ENSG00000173431,14,4,0.006309148264984227
BRINP1,3171,119153458,119369435,ENSG00000078725,9,20,0.00630715862503942
CPZ,2538,8592660,8619759,ENSG00000109625,4,16,0.006304176516942475
BCKDHA,1745,41397808,41425002,ENSG00000248098,19,11,0.006303724928366762
TBC1D21,1270,73873564,73889214,ENSG00000167139,15,8,0.006299212598425197
ITGB4,5896,75721328,75757818,ENSG00000132470,17,37,0.006275440976933514
UQCRC1,1595,48599002,48610976,ENSG00000010256,3,10,0.006269592476489028
KAT5,2237,65711996,65719604,ENSG00000172977,11,14,0.006258381761287439
CXorf66,1279,139955728,139965521,ENSG00000203933,X,8,0.006254886630179828
ADAT3,1599,1905399,1913447,ENSG00000213638,19,10,0.006253908692933083
COL7A1,9276,48564073,48595329,ENSG00000114270,3,58,0.006252695127210005
ANXA10,1441,168092537,168187736,ENSG00000109511,4,9,0.006245662734212352
SLC22A1,1922,160121815,160158718,ENSG00000175003,6,12,0.006243496357960458
CDK5,1122,151053815,151057897,ENSG00000164885,7,7,0.006238859180035651
PEPD,1929,33386950,33521791,ENSG00000124299,19,12,0.006220839813374806
CAPN9,2575,230747384,230802003,ENSG00000135773,1,16,0.006213592233009709
PRKACG,1610,69012504,69014113,ENSG00000165059,9,10,0.006211180124223602
SNRPD2,805,45687460,45692569,ENSG00000125743,19,5,0.006211180124223602
CNPY2,1450,56309842,56316119,ENSG00000257727,12,9,0.006206896551724138
CACNA1H,8219,1153106,1221771,ENSG00000196557,16,51,0.006205134444579633
PRR12,7416,49591182,49626439,ENSG00000126464,19,46,0.006202804746494067
CLIC3,809,136994608,136996568,ENSG00000169583,9,5,0.006180469715698393
RGS12,5512,3293021,3439913,ENSG00000159788,4,34,0.006168359941944848
GTF3C5,2110,133030675,133058503,ENSG00000148308,9,13,0.006161137440758294
LTBP4,5032,40592883,40629818,ENSG00000090006,19,31,0.006160572337042925
OR6K2,975,158699678,158700652,ENSG00000196171,1,6,0.006153846153846154
SUPT5H,3902,39436156,39476670,ENSG00000196235,19,24,0.006150691952844695
FASN,8464,82078338,82098294,ENSG00000169710,17,52,0.006143667296786389
B4GALNT4,3750,369499,382117,ENSG00000182272,11,23,0.0061333333333333335
ADAD1,1963,122378966,122429802,ENSG00000164113,4,12,0.006113092205807438
ZNF865,3763,55605647,55617269,ENSG00000261221,19,23,0.006112144565506245
NDUFC2-KCTD14,656,78016971,78079865,ENSG00000259112,11,4,0.006097560975609756
PSMB7,984,124353465,124415444,ENSG00000136930,9,6,0.006097560975609756
MAP3K6,4438,27354067,27366961,ENSG00000142733,1,27,0.00608382154123479
OR5D16,987,55838752,55839738,ENSG00000205029,11,6,0.0060790273556231
HELZ2,8064,63558086,63574239,ENSG00000130589,20,49,0.006076388888888889
PDE6B,3294,625573,670782,ENSG00000133256,4,20,0.006071645415907711
UBTD1,1647,97498924,97571206,ENSG00000165886,10,10,0.006071645415907711
VIT,2800,36696690,36814794,ENSG00000205221,2,17,0.006071428571428571
RABEP2,2307,28904421,28936526,ENSG00000177548,16,14,0.006068487212830516
EVPL,6592,76004502,76027306,ENSG00000167880,17,40,0.006067961165048544
NCR2,1154,41335608,41350889,ENSG00000096264,6,7,0.006065857885615251
MOV10L1,3957,50089879,50161690,ENSG00000073146,22,24,0.006065200909780136
PNPLA6,4617,7534004,7561764,ENSG00000032444,19,28,0.006064544076239983
CDC123,1321,12195965,12250589,ENSG00000151465,10,8,0.006056018168054504
PLK3,2477,44800377,44805990,ENSG00000173846,1,15,0.006055712555510699
PDILT,2148,20359175,20404737,ENSG00000169340,16,13,0.006052141527001862
CACNA1G,8602,50560715,50627474,ENSG00000006283,17,52,0.006045105789351314
RBMXL2,2151,7088998,7091148,ENSG00000170748,11,13,0.00604370060437006
BLVRA,1161,43758680,43807342,ENSG00000106605,7,7,0.006029285099052541
LCAT,1496,67939750,67944131,ENSG00000213398,16,9,0.006016042780748663
MYO7A,7483,77128246,77215241,ENSG00000137474,11,45,0.006013630896699185
PPAN-P2RY11,2661,10106223,10114780,ENSG00000243207,19,16,0.006012777151446824
EAF2,998,121835183,121886526,ENSG00000145088,3,6,0.006012024048096192
MYO15A,11811,18108756,18179802,ENSG00000091536,17,71,0.006011345356024046
WFS1,3662,6269849,6303265,ENSG00000109501,4,22,0.006007646095030038
MAPK8IP3,5686,1706166,1770351,ENSG00000138834,16,34,0.005979599015124868
NOXA1,1678,137423350,137434406,ENSG00000188747,9,10,0.0059594755661501785
VPS72,1511,151176304,151195321,ENSG00000163159,1,9,0.005956320317670417
PRKCSH,2189,11435284,11450968,ENSG00000130175,19,13,0.005938784833257195
ZNF668,2865,31060843,31074240,ENSG00000167394,16,17,0.00593368237347295
CFAP46,8263,132808392,132942823,ENSG00000171811,10,49,0.005930049618782524
TSSK6,1519,19512418,19515548,ENSG00000178093,19,9,0.005924950625411455
COL18A1,6586,45405165,45513720,ENSG00000182871,21,39,0.005921651989067719
SNAPC2,1520,7920338,7923250,ENSG00000104976,19,9,0.0059210526315789476
ZNF786,3209,149069641,149090782,ENSG00000197362,7,19,0.005920847616079776
KRT28,1692,40792196,40799959,ENSG00000173908,17,10,0.00591016548463357
CILP2,4234,19538248,19546659,ENSG00000160161,19,25,0.005904581955597544
TAS1R2,2542,18839599,18859682,ENSG00000179002,1,15,0.005900865460267506
GPR108,2034,6729914,6737580,ENSG00000125734,19,12,0.0058997050147492625
GK2,1868,79406361,79408228,ENSG00000196475,4,11,0.005888650963597431
MYBPC1,4082,101568353,101686028,ENSG00000196091,12,24,0.005879470847623714
LRFN1,3579,39306566,39320863,ENSG00000128011,19,21,0.00586756077116513
A3GALT2,1023,33306766,33321098,ENSG00000184389,1,6,0.005865102639296188
C6orf52,682,10671418,10694797,ENSG00000285312,CHR_HG2057_PATCH,4,0.005865102639296188
XAGE3,512,52862525,52868083,ENSG00000171402,X,3,0.005859375
AEBP1,4097,44104345,44114562,ENSG00000106624,7,24,0.005857944837686112
TRPM5,3929,2404515,2423045,ENSG00000070985,11,23,0.005853906846525834
FDCSP,513,70226124,70235252,ENSG00000181617,4,3,0.005847953216374269
OXT,513,3071620,3072517,ENSG00000101405,20,3,0.005847953216374269
ZCCHC13,855,74304180,74305034,ENSG00000187969,X,5,0.005847953216374269
POLR2B,4108,56977722,57031158,ENSG00000047315,4,24,0.005842259006815969
HSD11B1L,1884,5680604,5688523,ENSG00000167733,19,11,0.00583864118895966
RRP9,1542,51933429,51941904,ENSG00000114767,3,9,0.005836575875486381
ECH1,1200,38815458,38831877,ENSG00000282853,CHR_HG26_PATCH,7,0.005833333333333334
TREX1,1200,48465811,48467645,ENSG00000213689,3,7,0.005833333333333334
DBH,2745,133636363,133659329,ENSG00000123454,9,16,0.0058287795992714025
PLIN3,2232,4838341,4867694,ENSG00000105355,19,13,0.005824372759856631
LONP1,3092,5691834,5720572,ENSG00000196365,19,18,0.005821474773609315
RFXANK,1376,19192229,19201869,ENSG00000064490,19,8,0.005813953488372093
DPM3,517,155139891,155140595,ENSG00000179085,1,3,0.005802707930367505
SERPINC1,1552,173903800,173917327,ENSG00000117601,1,9,0.005798969072164949
CXorf65,863,71103889,71106788,ENSG00000204165,X,5,0.005793742757821553
FLNC,9159,128830406,128859274,ENSG00000128591,7,53,0.005786657932088656
PRSS22,1383,2852730,2858170,ENSG00000005001,16,8,0.005784526391901663
REPIN1,3292,150368189,150374044,ENSG00000214022,7,19,0.005771567436208992
CRYBB1,1041,26599278,26618027,ENSG00000100122,22,6,0.005763688760806916
PROZ,1563,113158648,113172386,ENSG00000126231,13,9,0.005758157389635317
RHBDL1,1566,675671,678268,ENSG00000103269,16,9,0.005747126436781609
RP1L1,8014,10606349,10712187,ENSG00000183638,8,46,0.005739955078612428
TAAR9,1047,132538290,132539336,ENSG00000237110,6,6,0.0057306590257879654
TMEM63B,3318,44126914,44155519,ENSG00000137216,6,19,0.005726341169379144
WDR90,5589,649311,667833,ENSG00000161996,16,32,0.0057255322955806045
SEZ6L2,3843,29871159,29899550,ENSG00000174938,16,22,0.005724694249284413
HIPK4,2446,40379271,40390181,ENSG00000160396,19,14,0.005723630417007359
ARID3C,2102,34621074,34629045,ENSG00000205143,9,12,0.005708848715509039
EGR2,3155,62811996,62819167,ENSG00000122877,10,18,0.005705229793977813
NUDT18,1754,22106874,22109419,ENSG00000275074,8,10,0.005701254275940707
CPA1,1931,130380339,130388114,ENSG00000091704,7,11,0.005696530295183843
SLURP1,527,142740949,142742406,ENSG00000126233,8,3,0.0056925996204933585
AP1M2,1757,10572671,10587315,ENSG00000129354,19,10,0.005691519635742743
TINAG,1758,54307859,54390142,ENSG00000137251,6,10,0.005688282138794084
DAPK3,2286,3958453,3971123,ENSG00000167657,19,13,0.005686789151356081
FAM50B,1935,3849373,3851320,ENSG00000145945,6,11,0.005684754521963824
ZAR1L,1584,32303699,32315363,ENSG00000189167,13,9,0.005681818181818182
FBXO46,2993,45710629,45730896,ENSG00000177051,19,17,0.005679919812896759
C8G,881,136945185,136946975,ENSG00000176919,9,5,0.0056753688989784334
MCHR1,2115,40679273,40682812,ENSG00000128285,22,12,0.005673758865248227
HPS1,3703,98416198,98446935,ENSG00000107521,10,21,0.005671077504725898
THOC6,1411,3024027,3027755,ENSG00000131652,16,8,0.005669737774627924
ASCC2,2823,29788609,29838304,ENSG00000100325,22,16,0.005667729365922777
MLH1,2827,36993350,37050846,ENSG00000076242,3,16,0.005659709939865582
FAM170B,1414,49131154,49134021,ENSG00000172538,10,8,0.005657708628005658
LRTM1,1414,54918231,54967088,ENSG00000144771,3,8,0.005657708628005658
GNAT3,1239,80458635,80512064,ENSG00000214415,7,7,0.005649717514124294
GPR33,1240,31482875,31488039,ENSG00000214943,14,7,0.00564516129032258
COMMD3-BMI1,1419,22316388,22329542,ENSG00000269897,10,8,0.005637773079633545
FOLR2,1242,72216601,72221950,ENSG00000165457,11,7,0.005636070853462158
CNFN,533,42387019,42390297,ENSG00000105427,19,3,0.005628517823639775
SEMA7A,3376,74411133,74435802,ENSG00000288455,CHR_HG2198_PATCH,19,0.005627962085308057
CIB3,711,16161368,16173525,ENSG00000141977,19,4,0.005625879043600563
OR52K2,1067,4449295,4450361,ENSG00000181963,11,6,0.005623242736644799
TCIRG1,2668,68039025,68050895,ENSG00000110719,11,15,0.005622188905547227
ANKRD61,1423,6031376,6036552,ENSG00000157999,7,8,0.005621925509486999
DNAJB13,1779,73951026,73970366,ENSG00000187726,11,10,0.005621135469364812
ATG4D,1963,10543895,10553418,ENSG00000130734,19,11,0.0056036678553234845
FERMT3,2499,64206678,64223891,ENSG00000149781,11,14,0.0056022408963585435
CAPG,1250,85394753,85418432,ENSG00000042493,2,7,0.0056
PKN3,3393,128702503,128720916,ENSG00000160447,9,19,0.005599764220453876
GAA,3751,80101556,80119881,ENSG00000171298,17,21,0.005598507064782724
MAP1S,3399,17719242,17734513,ENSG00000130479,19,19,0.005589879376287144
CCDC27,2685,3746460,3771645,ENSG00000162592,1,15,0.00558659217877095
GIP,716,48958554,48968596,ENSG00000159224,17,4,0.00558659217877095
BICD2,6448,92711363,92764833,ENSG00000185963,9,36,0.005583126550868486
CHRDL2,1971,74696429,74731426,ENSG00000054938,11,11,0.005580923389142567
MOGS,2867,74461057,74465410,ENSG00000115275,2,16,0.0055807464248343215
TMEM61,1256,54980628,54992288,ENSG00000143001,1,7,0.005573248407643312
AP2S1,898,46838136,46850846,ENSG00000042753,19,5,0.005567928730512249
PER1,4676,8140472,8156506,ENSG00000179094,17,26,0.005560307955517536
PARP2,1980,20343615,20357904,ENSG00000129484,14,11,0.005555555555555556
LOXHD1,7208,46476972,46657220,ENSG00000167210,18,40,0.005549389567147614
SEMA3F,3607,50155045,50189075,ENSG00000001617,3,20,0.0055447740504574435
LCK,2166,32251239,32286165,ENSG00000182866,1,12,0.00554016620498615
CDHR4,2528,49790732,49799873,ENSG00000187492,3,14,0.005537974683544304
RNF25,1807,218663892,218672002,ENSG00000163481,2,10,0.005534034311012728
RFC4,1448,186789880,186807058,ENSG00000163918,3,8,0.0055248618784530384
CELA3A,906,22001657,22012542,ENSG00000142789,1,5,0.005518763796909493
TBC1D2,3265,98199011,98255649,ENSG00000095383,9,18,0.005513016845329249
COLEC11,1633,3594832,3644644,ENSG00000118004,2,9,0.005511328842620943
NCOR2,8533,124324415,124567589,ENSG00000196498,12,47,0.005508027657330364
MTNR1B,1634,92969651,92985066,ENSG00000134640,11,9,0.0055079559363525096
COL6A3,10532,237324003,237414328,ENSG00000163359,2,58,0.005507026205848841
ASPHD1,1816,29900375,29919864,ENSG00000174939,16,10,0.005506607929515419
ATP13A2,3996,16985958,17011928,ENSG00000159363,1,22,0.0055055055055055055
ARHGDIG,1272,280450,283010,ENSG00000242173,16,7,0.00550314465408805
PLCD1,3271,38007496,38029642,ENSG00000187091,3,18,0.005502904310608377
