gene,length,count,rate
OR10Q1,1037,2,518.5
DIRC1,1037,2,518.5
C19orf33,520,1,520
ACSM1,2081,4,520.25
MOS,1041,2,520.5
ARIH2OS,1042,2,521
ENKD1,1565,3,521.6666666666666
ETV2,1571,3,523.6666666666666
AHSG,1574,3,524.6666666666666
NPAS1,2100,4,525
UGT2B11,2105,4,526.25
ADAM21,3161,6,526.8333333333334
EVA1B,1054,2,527
LRFN2,3164,6,527.3333333333334
ZAR1L,1584,3,528
SULT6B1,1057,2,528.5
IQCF5,529,1,529
DEFB127,530,1,530
CDK5RAP1,2650,5,530
B4GALT7,2653,5,530.6
NOL3,1592,3,530.6666666666666
COPRS,1062,2,531
OSTC,1062,2,531
CLCN1,3187,6,531.1666666666666
DHDH,1064,2,532
CPT1B,2662,5,532.4
RAB32,1065,2,532.5
TBCB,1067,2,533.5
CDC25C,2137,4,534.25
MBIP,1603,3,534.3333333333334
CNKSR1,2673,5,534.6
NT5C1B,2678,5,535.6
FAM183A,536,1,536
CLPS,538,1,538
ZNF816,2697,5,539.4
PAGE2B,540,1,540
OR1L1,1083,2,541.5
"NAALADL1",2708,5,541.6
CPXCR1,1626,3,542
MC3R,1084,2,542
CCER2,1085,2,542.5
SPATC1,2170,4,542.5
RNASE13,1631,3,543.6666666666666
C10orf120,1088,2,544
NDUFS5,544,1,544
MTNR1B,1634,3,544.6666666666666
NPSR1,1634,3,544.6666666666666
PLD3,2180,4,545
NIPSNAP3A,1636,3,545.3333333333334
C1QA,1091,2,545.5
CLPTM1,2732,5,546.4
ACAT2,1641,3,547
GHRH,547,1,547
TIMP1,1095,2,547.5
GPR143,1645,3,548.3333333333334
SAP30,1097,2,548.5
EXOSC7,1647,3,549
HSPB9,549,1,549
OVGP1,2196,4,549
CD14,1648,3,549.3333333333334
FAM47C,3299,6,549.8333333333334
OR3A1,1650,3,550
TAS2R3,1101,2,550.5
AKR1E2,1655,3,551.6666666666666
C1orf127,2761,5,552.2
AUP1,1658,3,552.6666666666666
PFN3,553,1,553
FUT7,1662,3,554
OR13C3,1108,2,554
ZNF184,3328,6,554.6666666666666
BPIFB6,1670,3,556.6666666666666
ZYX,2228,4,557
OR2F2,1114,2,557
GHRHR,1672,3,557.3333333333334
CXCL2,1115,2,557.5
GSPT2,2791,5,558.2
SH2B2,2236,4,559
MIA,559,1,559
EXOSC10,2796,5,559.2
NHLRC1,2238,4,559.5
SPANXN4,560,1,560
ZNF596,2803,5,560.6
BPIFA2,1122,2,561
GCG,1124,2,562
OR52B4,1124,2,562
ACSF2,2251,4,562.75
PARK7,1127,2,563.5
NKX3-2,2259,4,564.75
LGALS7,565,1,565
VPREB3,567,1,567
ABCF3,2844,5,568.8
PHGR1,571,1,571
NEU2,1143,2,571.5
SLC16A8,2291,4,572.75
LYPD6B,1719,3,573
S100A9,573,1,573
TEX33,1149,2,574.5
RBM22,2299,4,574.75
CST11,576,1,576
OR2AK2,1154,2,577
TIMM8B,1155,2,577.5
EPPIN-WFDC6,1156,2,578
CHCHD6,1159,2,579.5
NDUFA7,580,1,580
CCDC70,1162,2,581
HUS1B,1162,2,581
EPS8L3,2325,4,581.25
CDC16,2331,4,582.75
MS4A12,1167,2,583.5
SIGLEC7,1754,3,584.6666666666666
BRINP2,4097,7,585.2857142857143
OR6K6,1172,2,586
EXOC3L4,2938,5,587.6
GMIP,3528,6,588
SYT8,3534,6,589
TMEM210,590,1,590
ALKBH2,1180,2,590
FCER1G,590,1,590
PRRT4,3544,6,590.6666666666666
AHCY,2366,4,591.5
CST6,592,1,592
EBLN1,1777,3,592.3333333333334
CDCA8,2371,4,592.75
SDHAF2,1186,2,593
C11orf86,1187,2,593.5
PNLIPRP3,2374,4,593.5
SPINK1,1188,2,594
CPXM1,2376,4,594
HSD3B2,1783,3,594.3333333333334
EML2,2974,5,594.8
C8B,2382,4,595.5
CEBPE,1191,2,595.5
TMEM214,2978,5,595.6
NME1-NME2,1193,2,596.5
ZPBP,1195,2,597.5
DVL2,2989,5,597.8
FBXW5,2392,4,598
CLPSL1,598,1,598
SUSD3,1196,2,598
GPHB5,599,1,599
C1orf53,600,1,600
CLEC10A,1800,3,600
LGALS13,600,1,600
ZNF32,1201,2,600.5
CHST4,2412,4,603
SCAF1,4222,7,603.1428571428571
APOC3,604,1,604
LRRC26,1209,2,604.5
KIF19,3629,6,604.8333333333334
IL36G,1211,2,605.5
ERICH6B,2424,4,606
SLC17A1,1819,3,606.3333333333334
WFDC6,607,1,607
EXOC3L1,2429,4,607.25
MMP12,1822,3,607.3333333333334
ALAS1,2430,4,607.5
KDM8,2431,4,607.75
CD300LF,1825,3,608.3333333333334
SLC35A2,3047,5,609.4
STEAP1,1219,2,609.5
MRPS12,1220,2,610
PPID,1830,3,610
ZNF112,3660,6,610
DNAJC12,1221,2,610.5
LAT,2443,4,610.75
ST6GALNAC6,2448,4,612
KRT2,2450,4,612.5
AP1S1,1226,2,613
UGT1A6,2455,4,613.75
GPX7,1229,2,614.5
APOC4,616,1,616
HK3,3082,5,616.4
LTV1,1853,3,617.6666666666666
SEC14L3,2474,4,618.5
KLRF1,1239,2,619.5
PCCA,2484,4,621
NPHS2,1870,3,623.3333333333334
GCDH,1871,3,623.6666666666666
NELFA,2495,4,623.75
PLA2G4C,2496,4,624
TUBA4A,2499,4,624.75
LCE2C,625,1,625
LCE3D,625,1,625
GPR18,1875,3,625
HIBADH,1878,3,626
SUN5,1252,2,626
PGRMC1,1879,3,626.3333333333334
MYL3,1880,3,626.6666666666666
IQCF2,627,1,627
MAGEB1,1881,3,627
KRT24,1883,3,627.6666666666666
ALDH4A1,3139,5,627.8
MT1G,628,1,628
SRM,1260,2,630
CTNNAL1,2522,4,630.5
TFF2,631,1,631
CALR3,1263,2,631.5
DNTTIP1,1264,2,632
CYP4A11,2530,4,632.5
HSF2BP,1900,3,633.3333333333334
ASB12,1267,2,633.5
CALR,1901,3,633.6666666666666
DDX39A,1903,3,634.3333333333334
GPR32,1269,2,634.5
TBC1D21,1270,2,635
SBK3,1270,2,635
PILRA,1271,2,635.5
GAL3ST1,1909,3,636.3333333333334
JTB,1273,2,636.5
ACTR5,2547,4,636.75
TOMM6,637,1,637
TMEM156,1923,3,641
KIF12,2564,4,641
CLEC18B,1924,3,641.3333333333334
DOK7,2566,4,641.5
HNRNPM,2568,4,642
SNRNP40,1928,3,642.6666666666666
HHIPL2,2572,4,643
PIH1D2,1932,3,644
VPREB1,644,1,644
MAP10,4514,7,644.8571428571429
PIGB,1937,3,645.6666666666666
ZNF787,1940,3,646.6666666666666
RWDD3,1294,2,647
CYSRT1,1296,2,648
DPRX,648,1,648
CCIN,1947,3,649
FOXB2,1299,2,649.5
MAGEB6,1949,3,649.6666666666666
HIGD1B,650,1,650
DRICH1,1300,2,650
TMCO6,1953,3,651
MAGEB10,1953,3,651
KCNN4,1956,3,652
OR1E1,1307,2,653.5
HIGD2A,654,1,654
HAGH,2619,4,654.75
TMEM160,655,1,655
ZNF358,1968,3,656
LAD1,2627,4,656.75
MYLPF,657,1,657
COIL,2634,4,658.5
ZDHHC16,1977,3,659
DPPA5,659,1,659
PAGE1,659,1,659
FBXO8,1980,3,660
SOX15,1320,2,660
PARP2,1980,3,660
ANKRD18A,3971,6,661.8333333333334
KRTAP19-1,662,1,662
SERPINA4,1987,3,662.3333333333334
ZNF30,2651,4,662.75
CLDN24,663,1,663
ZNF703,3316,5,663.2
UGT2A1,2653,4,663.25
ASMT,1330,2,665
AFM,1997,3,665.6666666666666
ALX1,1332,2,666
DPYSL4,2664,4,666
APBB1,2666,4,666.5
OR52N2,1333,2,666.5
RENBP,1334,2,667
CCDC146,3335,5,667
NXPH4,2007,3,669
LRRC4B,3348,5,669.6
NPFF,670,1,670
NTF3,1341,2,670.5
DEPDC7,2012,3,670.6666666666666
DDC,2012,3,670.6666666666666
TWIST2,1342,2,671
PAX3,3359,5,671.8
ENPP7,2016,3,672
TCF25,2688,4,672
SCGB3A2,672,1,672
PEX11G,1345,2,672.5
S100A6,673,1,673
SLC50A1,1346,2,673
CHRD,4719,7,674.1428571428571
ALOX15,2697,4,674.25
THAP8,1349,2,674.5
PROCR,1349,2,674.5
VAT1,2699,4,674.75
GAS2L2,3375,5,675
AADACL4,2027,3,675.6666666666666
FNDC8,1352,2,676
MRPL47,1354,2,677
ODAM,1355,2,677.5
SCYL1,2715,4,678.75
WLS,2716,4,679
ZBTB32,2037,3,679
RBM10,3397,5,679.4
AKR7A2,1360,2,680
IGFL3,680,1,680
SPNS2,3404,5,680.8
ORC5,2043,3,681
SLC39A12,2725,4,681.25
C6orf52,682,1,682
MEIG1,682,1,682
NT5DC2,2047,3,682.3333333333334
STOML2,1365,2,682.5
SLC5A4,2048,3,682.6666666666666
NLRC4,3416,5,683.2
ROPN1B,2050,3,683.3333333333334
TRIM50,2050,3,683.3333333333334
SLC16A5,2051,3,683.6666666666666
CCDC185,2051,3,683.6666666666666
ADORA2A,2736,4,684
FES,2737,4,684.25
PDHA2,1372,2,686
OR2K2,1373,2,686.5
GOT1L1,1373,2,686.5
P2RX5,2060,3,686.6666666666666
FAM24A,687,1,687
UQCRH,687,1,687
NDST4,3439,5,687.8
RFXANK,1376,2,688
OR51B5,1376,2,688
ASMTL,2065,3,688.3333333333334
SPANXN2,1378,2,689
HGFAC,2069,3,689.6666666666666
GIPC1,2071,3,690.3333333333334
DOLK,2074,3,691.3333333333334
CTSW,1383,2,691.5
BTK,2767,4,691.75
RBMXL3,3459,5,691.8
CNOT10,2772,4,693
RBP2,694,1,694
ASGR1,2083,3,694.3333333333334
CD1B,1391,2,695.5
GJA8,1392,2,696
OCM,696,1,696
DEFB129,698,1,698
MATK,2098,3,699.3333333333334
TFB1M,2799,4,699.75
DNAJC1,2100,3,700
CD3D,701,1,701
OMA1,2105,3,701.6666666666666
CYLC1,2107,3,702.3333333333334
PGAM5,2811,4,702.75
ADIPOR1,2109,3,703
MORN5,703,1,703
TSNARE1,2110,3,703.3333333333334
ATXN3L,1407,2,703.5
PKN1,3518,5,703.6
PNKP,2111,3,703.6666666666666
PKP3,2817,4,704.25
JMJD7,1409,2,704.5
MLST8,2116,3,705.3333333333334
MEPCE,2822,4,705.5
ASCC2,2823,4,705.75
ATP2A1,3532,5,706.4
AGBL3,3533,5,706.6
KLK4,1416,2,708
GPATCH3,2125,3,708.3333333333334
CTU1,2126,3,708.6666666666666
MPC1L,709,1,709
DLX5,1418,2,709
ITIH6,4964,7,709.1428571428571
LUC7L2,2837,4,709.25
KLK15,1419,2,709.5
C9orf43,2130,3,710
LSM7,710,1,710
HES3,710,1,710
IL17B,712,1,712
MFSD12,2137,3,712.3333333333334
ZSCAN5A,3562,5,712.4
RFX8,2140,3,713.3333333333334
NT5C1B-RDH14,2142,3,714
ACER1,1428,2,714
RIOK3,3574,5,714.8
EFHB,2860,4,715
SLC2A8,2145,3,715
SLC27A6,2863,4,715.75
GIP,716,1,716
PDILT,2148,3,716
AASDH,3581,5,716.2
CACTIN,3583,5,716.6
PTGES3L-AARSD1,2150,3,716.6666666666666
STAT5A,4301,6,716.8333333333334
HMGCL,2151,3,717
LRFN4,2869,4,717.25
PTH1R,2153,3,717.6666666666666
TANK,2155,3,718.3333333333334
TCP10L2,2159,3,719.6666666666666
PGBD2,2879,4,719.75
RHBDF2,3599,5,719.8
SF3B6,720,1,720
CLDN23,2160,3,720
HCK,2160,3,720
REEP6,1441,2,720.5
AMHR2,2162,3,720.6666666666666
KRTAP7-1,721,1,721
PM20D1,2164,3,721.3333333333334
PTPN22,3607,5,721.4
LPCAT4,2165,3,721.6666666666666
SLC26A11,2888,4,722
GJB4,1444,2,722
SPINK2,722,1,722
ANXA6,2889,4,722.25
GALK1,1445,2,722.5
PALM,2891,4,722.75
SULT2B1,1447,2,723.5
ACSM2A,2894,4,723.5
GAPDHS,1448,2,724
ZSCAN16,1449,2,724.5
FRS3,2174,3,724.6666666666666
PODXL2,2175,3,725
FFAR2,2177,3,725.6666666666666
TNNC1,727,1,727
ADH1C,1454,2,727
PDE6H,727,1,727
SUN3,1456,2,728
ANKRD53,2185,3,728.3333333333334
IDUA,2186,3,728.6666666666666
PRKCSH,2189,3,729.6666666666666
GJB3,2192,3,730.6666666666666
IL1R2,1462,2,731
SPINK5,3656,5,731.2
PPP3CC,2194,3,731.3333333333334
FAM32A,1463,2,731.5
CD177,2195,3,731.6666666666666
EML3,3665,5,733
ACSM2B,2935,4,733.75
TNIP1,2935,4,733.75
YEATS4,1468,2,734
SCGN,1468,2,734
ARG1,1468,2,734
ORAI3,2204,3,734.6666666666666
TACC3,2943,4,735.75
BABAM1,1472,2,736
CSTL1,736,1,736
INSL5,736,1,736
HACL1,2214,3,738
CRABP1,738,1,738
BLK,2215,3,738.3333333333334
RHOT2,3695,5,739
BFSP1,2217,3,739
NCDN,3698,5,739.6
GLOD5,740,1,740
PGPEP1L,1481,2,740.5
POLD1,3703,5,740.6
VMO1,741,1,741
EPYC,1482,2,741
NOTUM,2223,3,741
ECEL1,2965,4,741.25
PHKG1,2226,3,742
SAA2-SAA4,743,1,743
SERPINA11,1486,2,743
CYP17A1,2230,3,743.3333333333334
GPR142,1487,2,743.5
CCDC116,2231,3,743.6666666666666
PDIA5,2232,3,744
NUP85,2233,3,744.3333333333334
CAMP,745,1,745
IQCF1,745,1,745
TMEM175,2236,3,745.3333333333334
GTSE1,2983,4,745.75
CST2,746,1,746
TCF7L1,2985,4,746.25
ARMC2,3734,5,746.8
PCP2,747,1,747
ESX1,1495,2,747.5
SEPHS2,2244,3,748
BCAS4,1498,2,749
PPP1R14D,750,1,750
RXRG,2252,3,750.6666666666666
ISYNA1,2252,3,750.6666666666666
MAP3K10,3754,5,750.8
MCOLN1,2253,3,751
NPW,751,1,751
EBNA1BP2,1503,2,751.5
TNFRSF8,3760,5,752
CYP4X1,2256,3,752
GZMK,1506,2,753
KRTAP9-1,753,1,753
RAB20,1507,2,753.5
ZNF775,2261,3,753.6666666666666
PMCH,754,1,754
GMPR,1508,2,754
S100A4,755,1,755
FZD2,3779,5,755.8
BFSP2,1512,2,756
TRIM47,2269,3,756.3333333333334
PPCS,2269,3,756.3333333333334
PLEK2,1513,2,756.5
GIT1,3783,5,756.6
KCNH4,3788,5,757.6
PCOLCE,1516,2,758
GNRH2,758,1,758
SCTR,2275,3,758.3333333333334
APOBR,3792,5,758.4
NCF2,2276,3,758.6666666666666
SLC22A14,2277,3,759
FABP12,759,1,759
ORM2,759,1,759
SERPINA5,2278,3,759.3333333333334
PRR5,2279,3,759.6666666666666
CHAC1,1520,2,760
TUBA3C,1521,2,760.5
ENO3,1521,2,760.5
WDR18,1521,2,760.5
EMP3,761,1,761
PAK1IP1,1523,2,761.5
CD300C,1524,2,762
LACTB2,1526,2,763
BDKRB1,1526,2,763
ZNF219,3055,4,763.75
C2CD5,4585,6,764.1666666666666
SLC52A2,2294,3,764.6666666666666
KRT9,2296,3,765.3333333333334
VPS29,1531,2,765.5
PPP1R32,1532,2,766
TGM6,2299,3,766.3333333333334
TLX3,1534,2,767
PIAS4,3069,4,767.25
ARL13A,1535,2,767.5
PRR23A,2307,3,769
SPDYE4,2307,3,769
ZNF229,5384,7,769.1428571428571
PIR,1539,2,769.5
IFNA6,1544,2,772
PSD,3861,5,772.2
DNAAF3,2318,3,772.6666666666666
PF4,773,1,773
KRT3,2319,3,773
ERP27,1547,2,773.5
GALNT8,2321,3,773.6666666666666
FOXI1,2321,3,773.6666666666666
CCDC183,2321,3,773.6666666666666
A4GALT,2321,3,773.6666666666666
PHYHIP,3099,4,774.75
VPS18,3875,5,775
ZNF841,3877,5,775.4
ANXA9,1551,2,775.5
UBL4A,2327,3,775.6666666666666
IPO13,3883,5,776.6
EMILIN1,3890,5,778
NHP2,780,1,780
UGT3A2,2342,3,780.6666666666666
GBP6,4685,6,780.8333333333334
C11orf68,1562,2,781
FZD9,2343,3,781
ZNF732,2346,3,782
CCDC89,2348,3,782.6666666666666
RHBDL1,1566,2,783
OR8G5,1566,2,783
AAR2,3918,5,783.6
AOC1,3135,4,783.75
ACADVL,2352,3,784
STYXL1,1570,2,785
PLA2G2E,785,1,785
DPF1,2356,3,785.3333333333334
KCNH2,4717,6,786.1666666666666
IBSP,1573,2,786.5
R3HCC1,1573,2,786.5
CYP4F2,2361,3,787
CYP2W1,2361,3,787
PRKCG,3149,4,787.25
ATP13A5,3938,5,787.6
HPN,2363,3,787.6666666666666
CSF2,788,1,788
CEP72,2366,3,788.6666666666666
PANK1,3155,4,788.75
EPHA2,3946,5,789.2
SELP,3157,4,789.25
CFI,2368,3,789.3333333333334
EEF2,3158,4,789.5
GRK4,2372,3,790.6666666666666
MYL7,791,1,791
LHX8,2373,3,791
CSRNP1,3164,4,791
SEC13,2374,3,791.3333333333334
RPA2,1584,2,792
BRINP1,3171,4,792.75
MRPL36,793,1,793
SIGLEC11,3173,4,793.25
CEL,2381,3,793.6666666666666
GLI1,3972,5,794.4
TXNDC11,3178,4,794.5
UCN,795,1,795
LRIT1,2386,3,795.3333333333334
KLHL2,3185,4,796.25
KRTAP13-4,797,1,797
TRIM16L,3189,4,797.25
UQCRC1,1595,2,797.5
GTF3C2,3992,5,798.4
TEKT5,1597,2,798.5
C1QTNF2,2396,3,798.6666666666666
"NACA2",799,1,799
ZNF425,3198,4,799.5
AARS2,4798,6,799.6666666666666
SNX17,2400,3,800
SIRT6,1600,2,800
KLRC1,1600,2,800
INHBC,3202,4,800.5
DPP7,1601,2,800.5
HDC,2405,3,801.6666666666666
RFPL2,2407,3,802.3333333333334
PATL2,2410,3,803.3333333333334
MAGEB2,1607,2,803.5
SOSTDC1,2411,3,803.6666666666666
C20orf96,1608,2,804
SEMA6B,4021,5,804.2
GALNTL6,4021,5,804.2
GRB14,2415,3,805
SNRPD2,805,1,805
TMEM253,1611,2,805.5
GRPR,2417,3,805.6666666666666
ECE2,3223,4,805.75
PRMT5,2418,3,806
MSLN,2418,3,806
YDJC,1613,2,806.5
TYMS,1613,2,806.5
RAI2,2421,3,807
MPND,1614,2,807
LRRC25,2427,3,809
CRYBA4,809,1,809
FTHL17,809,1,809
VPS37D,1618,2,809
BOP1,2428,3,809.3333333333334
CCL7,810,1,810
MRPL4,1620,2,810
FASTKD3,2431,3,810.3333333333334
SEMG1,1622,2,811
LYZL2,811,1,811
EPB42,2434,3,811.3333333333334
SLC10A6,1623,2,811.5
DISP1,4870,6,811.6666666666666
CNBD1,1624,2,812
MLXIPL,3252,4,813
SLC14A2,4073,5,814.6
CWH43,2444,3,814.6666666666666
ADAM8,3259,4,814.75
ACP5,1630,2,815
FBXL8,1630,2,815
SOGA3,4077,5,815.4
GORASP2,2447,3,815.6666666666666
LCN9,1632,2,816
COLEC11,1633,2,816.5
APOBEC2,1633,2,816.5
GSDMC,2450,3,816.6666666666666
FOXF2,2451,3,817
MSH4,3270,4,817.5
LIN37,1635,2,817.5
ZC3H3,3270,4,817.5
GBP2,4088,5,817.6
C1GALT1C1,1636,2,818
KPTN,1636,2,818
KRT14,1636,2,818
SLC22A17,2455,3,818.3333333333334
UBE2J2,2455,3,818.3333333333334
GKN1,820,1,820
LEUTX,820,1,820
ARMC6,2461,3,820.3333333333334
LACTBL1,1641,2,820.5
CHGB,2462,3,820.6666666666666
LYPD3,1642,2,821
HAUS4,1642,2,821
DTNB,2464,3,821.3333333333334
C3orf20,3286,4,821.5
AK8,2465,3,821.6666666666666
MYO1C,4931,6,821.8333333333334
ARPC4-TTLL3,2466,3,822
TUBGCP3,4111,5,822.2
RSAD1,2467,3,822.3333333333334
NME1,1645,2,822.5
CRHBP,1645,2,822.5
SIRPD,823,1,823
CLRN2,823,1,823
TRMT112,823,1,823
MBD4,2470,3,823.3333333333334
PLIN5,2470,3,823.3333333333334
UBTD1,1647,2,823.5
MDH1,1647,2,823.5
PPOX,2471,3,823.6666666666666
THEG,1649,2,824.5
PLA2G6,3299,4,824.75
ZIM2,2475,3,825
NOC4L,1650,2,825
KCNA3,2476,3,825.3333333333334
UBA7,3304,4,826
DVL1,3305,4,826.25
SRY,828,1,828
CASKIN2,4969,6,828.1666666666666
SENP7,4973,6,828.8333333333334
GH1,830,1,830
TRIM68,3324,4,831
ZNF385A,2494,3,831.3333333333334
SEC61A2,2495,3,831.6666666666666
PPEF2,4163,5,832.6
BRD1,4997,6,832.8333333333334
AP1B1,4165,5,833
SURF2,833,1,833
FERMT3,2499,3,833
DONSON,2500,3,833.3333333333334
TBXAS1,2505,3,835
C11orf91,836,1,836
PIK3R4,5016,6,836
SLC38A8,1672,2,836
WNT8A,1673,2,836.5
SH2D2A,1673,2,836.5
LIPI,1673,2,836.5
HGD,1674,2,837
DRAP1,837,1,837
ELMO3,2511,3,837
PGAM2,837,1,837
TLR9,3352,4,838
PDZK1IP1,838,1,838
ALOX12B,2515,3,838.3333333333334
CNOT11,2515,3,838.3333333333334
SH3GL1,2516,3,838.6666666666666
CCL20,839,1,839
INTS10,2517,3,839
NOXA1,1678,2,839
ZNF565,2519,3,839.6666666666666
IFI44,1682,2,841
TRIM5,3364,4,841
MEF2B,1683,2,841.5
FSCN2,1684,2,842
FBXL14,2527,3,842.3333333333334
CDHR4,2528,3,842.6666666666666
KLHL22,2528,3,842.6666666666666
PRMT1,1686,2,843
TLR8,4216,5,843.2
MYBPC3,4217,5,843.4
SKAP1,1687,2,843.5
ERCC1,3379,4,844.75
RBM42,1692,2,846
TMEM151A,2538,3,846
KRT28,1692,2,846
KLF15,2540,3,846.6666666666666
PNPLA5,2540,3,846.6666666666666
TAS1R2,2542,3,847.3333333333334
SMTNL1,1695,2,847.5
MAB21L2,2543,3,847.6666666666666
NOX1,2543,3,847.6666666666666
TPPP2,1696,2,848
CCDC136,4246,5,849.2
HTR3C,1699,2,849.5
PWP1,2549,3,849.6666666666666
MAP1S,3399,4,849.75
CCRL2,1700,2,850
SLC32A1,2550,3,850
MAGEF1,1701,2,850.5
SS18,3402,4,850.5
GNB2,1702,2,851
TMEM200B,2553,3,851
ZNF625,1702,2,851
TADA3,2554,3,851.3333333333334
NRROS,2556,3,852
LSM4,1704,2,852
PDE9A,3412,4,853
ZNF622,1707,2,853.5
FADD,1708,2,854
MRPL3,1708,2,854
FAM47A,2563,3,854.3333333333334
ZCCHC13,855,1,855
IDH3G,1712,2,856
UGT2A2,2568,3,856
DGAT2L6,1712,2,856
COL1A2,5993,7,856.1428571428571
KIFC3,3427,4,856.75
RAMP1,857,1,857
RDH8,1714,2,857
RBP3,4290,5,858
ADCK2,2574,3,858
GRP,858,1,858
CAPN9,2575,3,858.3333333333334
LSM14B,2576,3,858.6666666666666
FANCE,2576,3,858.6666666666666
GPR39,2576,3,858.6666666666666
ULK4,4294,5,858.8
